"technique_id","technique_name","aspect","animation_id","duration_ms","hit_frame_ms","sfx_key","caster_motion","projectile_or_field","target_impact","color_primary","color_secondary"
"TC158","Tide Bloom","tide","anim_tc158_tide_pulse_shard","606","238","sfx_tc158_tide_pulse_shard","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
"TC159","Verdance Ward","verdance","anim_tc159_verdance_guard_chain","623","249","sfx_tc159_verdance_guard_chain","spin","screen_layer","scatter","#43A047","#B7E27D"
"TC160","Stone Lance","stone","anim_tc160_stone_field_veil","640","260","sfx_tc160_stone_field_veil","step","particle_cone","pull","#8A7D66","#D0C0A0"
"TC161","Gale Step","gale","anim_tc161_gale_bind_arc","657","271","sfx_tc161_gale_bind_arc","rear","orbit","cleanse","#87CDEB","#FFFFFF"
"TC162","Spark Howl","spark","anim_tc162_spark_recovery_surge","674","282","sfx_tc162_spark_recovery_surge","lunge","projectile","flash","#FFD43B","#FFFFFF"
"TC163","Frost Guard","frost","anim_tc163_frost_strike_spiral","691","293","sfx_tc163_frost_strike_spiral","brace","aura_ring","shake","#A7E8FF","#FFFFFF"
"TC164","Metal Crash","metal","anim_tc164_metal_pulse_burst","708","304","sfx_tc164_metal_pulse_burst","float","ground_wave","ring_pop","#A6A9B6","#E2E5EF"
"TC165","Shade Thread","shade","anim_tc165_shade_guard_rain","725","315","sfx_tc165_shade_guard_rain","spin","screen_layer","scatter","#5D3F7A","#0C0D12"
"TC166","Radiant Field","radiant","anim_tc166_radiant_field_lash","742","326","sfx_tc166_radiant_field_lash","step","particle_cone","pull","#FFD97A","#FFFFFF"
"TC167","Mind Mark","mind","anim_tc167_mind_bind_ring","759","337","sfx_tc167_mind_bind_ring","rear","orbit","cleanse","#C071D8","#F0B6FF"
"TC168","Echo Rush","echo","anim_tc168_echo_recovery_wave","776","348","sfx_tc168_echo_recovery_wave","lunge","projectile","flash","#55D6C2","#FFFFFF"
"TC169","Ember Song","ember","anim_tc169_ember_strike_slash","793","359","sfx_tc169_ember_strike_slash","brace","aura_ring","shake","#F05A28","#FFD43B"
"TC170","Tide Blade","tide","anim_tc170_tide_pulse_flare","810","370","sfx_tc170_tide_pulse_flare","float","ground_wave","ring_pop","#2F9EEA","#A7E8FF"
