"echoform_id","echoform_name","level","technique_id","technique_name","element","source"
"E010","Whisprill","52","TC082","Radiant Rift","radiant","level_up"
"E010","Whisprill","62","TC166","Radiant Field","radiant","level_up"
"E011","Lurkite","1","TC143","Mind Comet","mind","level_up"
"E011","Lurkite","4","TC227","Mind Mark","mind","level_up"
"E011","Lurkite","8","TC311","Mind Step","mind","level_up"
"E011","Lurkite","12","TC395","Mind Crown","mind","level_up"
"E011","Lurkite","16","TC035","Mind Crown","mind","level_up"
"E011","Lurkite","20","TC119","Mind Orbit","mind","level_up"
"E011","Lurkite","25","TC203","Mind Comet","mind","level_up"
"E011","Lurkite","30","TC287","Mind Mark","mind","level_up"
"E011","Lurkite","36","TC371","Mind Step","mind","level_up"
"E011","Lurkite","44","TC011","Mind Step","mind","level_up"
"E011","Lurkite","52","TC095","Mind Crown","mind","level_up"
"E011","Lurkite","62","TC179","Mind Orbit","mind","level_up"
"E012","Bronzawn","1","TC156","Echo Pulse","echo","level_up"
"E012","Bronzawn","4","TC233","Gale Comet","gale","level_up"
"E012","Bronzawn","8","TC324","Echo Bind","echo","level_up"
"E012","Bronzawn","12","TC401","Gale Step","gale","level_up"
"E012","Bronzawn","16","TC048","Echo Rush","echo","level_up"
"E012","Bronzawn","20","TC113","Gale Comet","gale","level_up"
"E012","Bronzawn","25","TC216","Echo Pulse","echo","level_up"
"E012","Bronzawn","30","TC281","Gale Step","gale","level_up"
"E012","Bronzawn","36","TC384","Echo Bind","echo","level_up"
"E012","Bronzawn","44","TC449","Gale Orbit","gale","level_up"
"E012","Bronzawn","52","TC108","Echo Rush","echo","level_up"
"E012","Bronzawn","62","TC161","Gale Step","gale","level_up"
"E013","Snowlume","1","TC157","Ember Fang","ember","level_up"
"E013","Snowlume","4","TC241","Ember Snap","ember","level_up"
"E013","Snowlume","8","TC325","Ember Mirror","ember","level_up"
"E013","Snowlume","12","TC409","Ember Song","ember","level_up"
"E013","Snowlume","16","TC037","Ember Fang","ember","level_up"
"E013","Snowlume","20","TC121","Ember Snap","ember","level_up"
"E013","Snowlume","25","TC205","Ember Mirror","ember","level_up"
"E013","Snowlume","30","TC289","Ember Song","ember","level_up"
"E013","Snowlume","36","TC373","Ember Guard","ember","level_up"
"E013","Snowlume","44","TC001","Ember Snap","ember","level_up"
"E013","Snowlume","52","TC085","Ember Mirror","ember","level_up"
"E013","Snowlume","62","TC169","Ember Song","ember","level_up"
"E014","Mindle","1","TC170","Tide Blade","tide","level_up"
"E014","Mindle","4","TC254","Tide Crash","tide","level_up"
"E014","Mindle","8","TC338","Tide Bloom","tide","level_up"
"E014","Mindle","12","TC422","Tide Surge","tide","level_up"
"E014","Mindle","16","TC050","Tide Blade","tide","level_up"
"E014","Mindle","20","TC134","Tide Crash","tide","level_up"
"E014","Mindle","25","TC218","Tide Bloom","tide","level_up"
"E014","Mindle","30","TC302","Tide Surge","tide","level_up"
"E014","Mindle","36","TC386","Tide Drift","tide","level_up"
"E014","Mindle","44","TC014","Tide Crash","tide","level_up"
"E014","Mindle","52","TC098","Tide Bloom","tide","level_up"
"E014","Mindle","62","TC182","Tide Surge","tide","level_up"
"E015","Corren","1","TC183","Verdance Veil","verdance","level_up"
"E015","Corren","4","TC272","Metal Surge","metal","level_up"
"E015","Corren","8","TC351","Verdance Nova","verdance","level_up"
"E015","Corren","12","TC440","Metal Blade","metal","level_up"
"E015","Corren","16","TC063","Verdance Veil","verdance","level_up"
"E015","Corren","20","TC164","Metal Crash","metal","level_up"
"E015","Corren","25","TC231","Verdance Nova","verdance","level_up"
"E015","Corren","30","TC332","Metal Surge","metal","level_up"
"E015","Corren","36","TC399","Verdance Ward","verdance","level_up"
"E015","Corren","44","TC056","Metal Drift","metal","level_up"
"E015","Corren","52","TC111","Verdance Nova","verdance","level_up"
"E015","Corren","62","TC224","Metal Crash","metal","level_up"
"E016","Siltjaw","1","TC196","Stone Field","stone","level_up"
"E016","Siltjaw","4","TC280","Stone Lance","stone","level_up"
"E016","Siltjaw","8","TC364","Stone Spiral","stone","level_up"
"E016","Siltjaw","12","TC448","Stone Burst","stone","level_up"
"E016","Siltjaw","16","TC076","Stone Field","stone","level_up"
"E016","Siltjaw","20","TC160","Stone Lance","stone","level_up"
"E016","Siltjaw","25","TC244","Stone Spiral","stone","level_up"
"E016","Siltjaw","30","TC328","Stone Burst","stone","level_up"
"E016","Siltjaw","36","TC412","Stone Rift","stone","level_up"
"E016","Siltjaw","44","TC040","Stone Lance","stone","level_up"
"E016","Siltjaw","52","TC124","Stone Spiral","stone","level_up"
"E016","Siltjaw","62","TC208","Stone Burst","stone","level_up"
"E017","Verdirn","1","TC209","Gale Orbit","gale","level_up"
"E017","Verdirn","4","TC293","Gale Comet","gale","level_up"
"E017","Verdirn","8","TC377","Gale Mark","gale","level_up"
"E017","Verdirn","12","TC005","Gale Crown","gale","level_up"
"E017","Verdirn","16","TC089","Gale Orbit","gale","level_up"
"E017","Verdirn","20","TC173","Gale Comet","gale","level_up"
"E017","Verdirn","25","TC257","Gale Mark","gale","level_up"
"E017","Verdirn","30","TC341","Gale Step","gale","level_up"
"E017","Verdirn","36","TC425","Gale Crown","gale","level_up"
"E017","Verdirn","44","TC053","Gale Comet","gale","level_up"
"E017","Verdirn","52","TC137","Gale Mark","gale","level_up"
"E017","Verdirn","62","TC221","Gale Step","gale","level_up"
"E018","Echorn","1","TC222","Spark Howl","spark","level_up"
"E018","Echorn","4","TC311","Mind Step","mind","level_up"
"E018","Echorn","8","TC390","Spark Needle","spark","level_up"
"E018","Echorn","12","TC035","Mind Crown","mind","level_up"
"E018","Echorn","16","TC102","Spark Howl","spark","level_up"
"E018","Echorn","20","TC203","Mind Comet","mind","level_up"
"E018","Echorn","25","TC270","Spark Needle","spark","level_up"
"E018","Echorn","30","TC371","Mind Step","mind","level_up"
"E018","Echorn","36","TC438","Spark Rush","spark","level_up"
"E018","Echorn","44","TC095","Mind Crown","mind","level_up"
"E018","Echorn","52","TC150","Spark Needle","spark","level_up"
"E018","Echorn","62","TC263","Mind Comet","mind","level_up"
"E019","Myrkit","1","TC235","Frost Mirror","frost","level_up"
"E019","Myrkit","4","TC319","Frost Song","frost","level_up"
"E019","Myrkit","8","TC403","Frost Guard","frost","level_up"
"E019","Myrkit","12","TC043","Frost Guard","frost","level_up"
"E019","Myrkit","16","TC127","Frost Fang","frost","level_up"
"E019","Myrkit","20","TC211","Frost Snap","frost","level_up"
"E019","Myrkit","25","TC295","Frost Mirror","frost","level_up"
"E019","Myrkit","30","TC379","Frost Song","frost","level_up"
"E019","Myrkit","36","TC019","Frost Song","frost","level_up"
"E019","Myrkit","44","TC103","Frost Guard","frost","level_up"
"E019","Myrkit","52","TC187","Frost Fang","frost","level_up"
"E019","Myrkit","62","TC271","Frost Snap","frost","level_up"
"E020","Nulling","1","TC248","Metal Bloom","metal","level_up"
"E020","Nulling","4","TC332","Metal Surge","metal","level_up"
"E020","Nulling","8","TC416","Metal Drift","metal","level_up"
"E020","Nulling","12","TC056","Metal Drift","metal","level_up"
"E020","Nulling","16","TC140","Metal Blade","metal","level_up"
"E020","Nulling","20","TC224","Metal Crash","metal","level_up"
"E020","Nulling","25","TC308","Metal Bloom","metal","level_up"
"E020","Nulling","30","TC392","Metal Surge","metal","level_up"
"E020","Nulling","36","TC032","Metal Surge","metal","level_up"
"E020","Nulling","44","TC116","Metal Drift","metal","level_up"
"E020","Nulling","52","TC200","Metal Blade","metal","level_up"
"E020","Nulling","62","TC284","Metal Crash","metal","level_up"
"E021","Sablisk","1","TC261","Shade Nova","shade","level_up"
"E021","Sablisk","4","TC338","Tide Bloom","tide","level_up"
"E021","Sablisk","8","TC429","Shade Ward","shade","level_up"
"E021","Sablisk","12","TC050","Tide Blade","tide","level_up"
"E021","Sablisk","16","TC153","Shade Veil","shade","level_up"
"E021","Sablisk","20","TC218","Tide Bloom","tide","level_up"
"E021","Sablisk","25","TC321","Shade Nova","shade","level_up"
"E021","Sablisk","30","TC386","Tide Drift","tide","level_up"
"E021","Sablisk","36","TC045","Shade Thread","shade","level_up"
"E021","Sablisk","44","TC098","Tide Bloom","tide","level_up"
"E021","Sablisk","52","TC213","Shade Veil","shade","level_up"
"E021","Sablisk","62","TC266","Tide Drift","tide","level_up"
"E022","Ferronar","1","TC274","Radiant Spiral","radiant","level_up"
"E022","Ferronar","4","TC358","Radiant Burst","radiant","level_up"
"E022","Ferronar","8","TC442","Radiant Rift","radiant","level_up"
"E022","Ferronar","12","TC082","Radiant Rift","radiant","level_up"
"E022","Ferronar","16","TC166","Radiant Field","radiant","level_up"
"E022","Ferronar","20","TC250","Radiant Lance","radiant","level_up"
"E022","Ferronar","25","TC334","Radiant Spiral","radiant","level_up"
"E022","Ferronar","30","TC418","Radiant Burst","radiant","level_up"
"E022","Ferronar","36","TC058","Radiant Burst","radiant","level_up"
"E022","Ferronar","44","TC142","Radiant Rift","radiant","level_up"
"E022","Ferronar","52","TC226","Radiant Field","radiant","level_up"
"E022","Ferronar","62","TC310","Radiant Lance","radiant","level_up"
"E023","Lunaveil","1","TC287","Mind Mark","mind","level_up"
"E023","Lunaveil","4","TC371","Mind Step","mind","level_up"
"E023","Lunaveil","8","TC011","Mind Step","mind","level_up"
"E023","Lunaveil","12","TC095","Mind Crown","mind","level_up"
"E023","Lunaveil","16","TC179","Mind Orbit","mind","level_up"
"E023","Lunaveil","20","TC263","Mind Comet","mind","level_up"
"E023","Lunaveil","25","TC347","Mind Mark","mind","level_up"
"E023","Lunaveil","30","TC431","Mind Step","mind","level_up"
"E023","Lunaveil","36","TC071","Mind Step","mind","level_up"
"E023","Lunaveil","44","TC155","Mind Crown","mind","level_up"
"E023","Lunaveil","52","TC239","Mind Orbit","mind","level_up"
"E023","Lunaveil","62","TC323","Mind Comet","mind","level_up"
"E024","Galdra","1","TC300","Echo Needle","echo","level_up"
"E024","Galdra","4","TC377","Gale Mark","gale","level_up"
"E024","Galdra","8","TC024","Echo Bind","echo","level_up"
"E024","Galdra","12","TC089","Gale Orbit","gale","level_up"
"E024","Galdra","16","TC192","Echo Howl","echo","level_up"
"E024","Galdra","20","TC257","Gale Mark","gale","level_up"
"E024","Galdra","25","TC360","Echo Needle","echo","level_up"
"E024","Galdra","30","TC425","Gale Crown","gale","level_up"
"E024","Galdra","36","TC084","Echo Bind","echo","level_up"
"E024","Galdra","44","TC137","Gale Mark","gale","level_up"
"E024","Galdra","52","TC252","Echo Howl","echo","level_up"
"E024","Galdra","62","TC305","Gale Crown","gale","level_up"
"E025","Rootmaw","1","TC301","Ember Snap","ember","level_up"
"E025","Rootmaw","4","TC385","Ember Mirror","ember","level_up"
"E025","Rootmaw","8","TC013","Ember Guard","ember","level_up"
"E025","Rootmaw","12","TC097","Ember Fang","ember","level_up"
"E025","Rootmaw","16","TC181","Ember Snap","ember","level_up"
"E025","Rootmaw","20","TC265","Ember Mirror","ember","level_up"
"E025","Rootmaw","25","TC349","Ember Song","ember","level_up"
"E025","Rootmaw","30","TC433","Ember Guard","ember","level_up"
"E025","Rootmaw","36","TC061","Ember Snap","ember","level_up"
"E025","Rootmaw","44","TC145","Ember Mirror","ember","level_up"
"E025","Rootmaw","52","TC229","Ember Song","ember","level_up"
"E025","Rootmaw","62","TC313","Ember Guard","ember","level_up"
"E026","Tideglass","1","TC314","Tide Crash","tide","level_up"
"E026","Tideglass","4","TC398","Tide Bloom","tide","level_up"
"E026","Tideglass","8","TC026","Tide Drift","tide","level_up"
"E026","Tideglass","12","TC110","Tide Blade","tide","level_up"
"E026","Tideglass","16","TC194","Tide Crash","tide","level_up"
"E026","Tideglass","20","TC278","Tide Bloom","tide","level_up"
"E026","Tideglass","25","TC362","Tide Surge","tide","level_up"
"E026","Tideglass","30","TC446","Tide Drift","tide","level_up"
"E026","Tideglass","36","TC074","Tide Crash","tide","level_up"
"E026","Tideglass","44","TC158","Tide Bloom","tide","level_up"
"E026","Tideglass","52","TC242","Tide Surge","tide","level_up"
"E026","Tideglass","62","TC326","Tide Drift","tide","level_up"
"E027","Velkrin","1","TC327","Verdance Aegis","verdance","level_up"
"E027","Velkrin","4","TC416","Metal Drift","metal","level_up"
"E027","Velkrin","8","TC039","Verdance Ward","verdance","level_up"
"E027","Velkrin","12","TC140","Metal Blade","metal","level_up"
"E027","Velkrin","16","TC207","Verdance Aegis","verdance","level_up"
"E027","Velkrin","20","TC308","Metal Bloom","metal","level_up"
"E027","Velkrin","25","TC375","Verdance Thread","verdance","level_up"
"E027","Velkrin","30","TC032","Metal Surge","metal","level_up"
"E027","Velkrin","36","TC087","Verdance Aegis","verdance","level_up"
"E027","Velkrin","44","TC200","Metal Blade","metal","level_up"
"E027","Velkrin","52","TC255","Verdance Thread","verdance","level_up"
"E027","Velkrin","62","TC368","Metal Bloom","metal","level_up"
"E028","Oracalf","1","TC340","Stone Lance","stone","level_up"
"E028","Oracalf","4","TC424","Stone Spiral","stone","level_up"
"E028","Oracalf","8","TC052","Stone Rift","stone","level_up"
"E028","Oracalf","12","TC136","Stone Field","stone","level_up"
"E028","Oracalf","16","TC220","Stone Lance","stone","level_up"
"E028","Oracalf","20","TC304","Stone Spiral","stone","level_up"
"E028","Oracalf","25","TC388","Stone Burst","stone","level_up"
"E028","Oracalf","30","TC016","Stone Field","stone","level_up"
"E028","Oracalf","36","TC100","Stone Lance","stone","level_up"
"E028","Oracalf","44","TC184","Stone Spiral","stone","level_up"
"E028","Oracalf","52","TC268","Stone Burst","stone","level_up"
"E028","Oracalf","62","TC352","Stone Rift","stone","level_up"
"E029","Cindrill","1","TC353","Gale Comet","gale","level_up"
"E029","Cindrill","4","TC437","Gale Mark","gale","level_up"
"E029","Cindrill","8","TC065","Gale Crown","gale","level_up"
"E029","Cindrill","12","TC149","Gale Orbit","gale","level_up"
"E029","Cindrill","16","TC233","Gale Comet","gale","level_up"
"E029","Cindrill","20","TC317","Gale Mark","gale","level_up"
"E029","Cindrill","25","TC401","Gale Step","gale","level_up"
"E029","Cindrill","30","TC029","Gale Orbit","gale","level_up"
"E029","Cindrill","36","TC113","Gale Comet","gale","level_up"
"E029","Cindrill","44","TC197","Gale Mark","gale","level_up"
"E029","Cindrill","52","TC281","Gale Step","gale","level_up"
"E029","Cindrill","62","TC365","Gale Crown","gale","level_up"
"E030","Brinemoth","1","TC366","Spark Pulse","spark","level_up"
"E030","Brinemoth","4","TC011","Mind Step","mind","level_up"
"E030","Brinemoth","8","TC078","Spark Rush","spark","level_up"
"E030","Brinemoth","12","TC179","Mind Orbit","mind","level_up"
"E030","Brinemoth","16","TC246","Spark Pulse","spark","level_up"
"E030","Brinemoth","20","TC347","Mind Mark","mind","level_up"
"E030","Brinemoth","25","TC414","Spark Bind","spark","level_up"
"E030","Brinemoth","30","TC071","Mind Step","mind","level_up"
"E030","Brinemoth","36","TC126","Spark Pulse","spark","level_up"
"E030","Brinemoth","44","TC239","Mind Orbit","mind","level_up"
"E030","Brinemoth","52","TC294","Spark Bind","spark","level_up"
"E030","Brinemoth","62","TC407","Mind Mark","mind","level_up"
"E031","Thornox","1","TC379","Frost Song","frost","level_up"
"E031","Thornox","4","TC019","Frost Song","frost","level_up"
"E031","Thornox","8","TC103","Frost Guard","frost","level_up"
"E031","Thornox","12","TC187","Frost Fang","frost","level_up"
"E031","Thornox","16","TC271","Frost Snap","frost","level_up"
"E031","Thornox","20","TC355","Frost Mirror","frost","level_up"
"E031","Thornox","25","TC439","Frost Song","frost","level_up"
"E031","Thornox","30","TC079","Frost Song","frost","level_up"
"E031","Thornox","36","TC163","Frost Guard","frost","level_up"
"E031","Thornox","44","TC247","Frost Fang","frost","level_up"
"E031","Thornox","52","TC331","Frost Snap","frost","level_up"
"E031","Thornox","62","TC415","Frost Mirror","frost","level_up"
"E032","Glazetail","1","TC392","Metal Surge","metal","level_up"
"E032","Glazetail","4","TC032","Metal Surge","metal","level_up"
"E032","Glazetail","8","TC116","Metal Drift","metal","level_up"
"E032","Glazetail","12","TC200","Metal Blade","metal","level_up"
"E032","Glazetail","16","TC284","Metal Crash","metal","level_up"
"E032","Glazetail","20","TC368","Metal Bloom","metal","level_up"
"E032","Glazetail","25","TC008","Metal Bloom","metal","level_up"
"E032","Glazetail","30","TC092","Metal Surge","metal","level_up"
"E032","Glazetail","36","TC176","Metal Drift","metal","level_up"
"E032","Glazetail","44","TC260","Metal Blade","metal","level_up"
"E032","Glazetail","52","TC344","Metal Crash","metal","level_up"
"E032","Glazetail","62","TC428","Metal Bloom","metal","level_up"
"E033","Sparrook","1","TC405","Shade Thread","shade","level_up"
"E033","Sparrook","4","TC026","Tide Drift","tide","level_up"
"E033","Sparrook","8","TC129","Shade Ward","shade","level_up"
"E033","Sparrook","12","TC194","Tide Crash","tide","level_up"
"E033","Sparrook","16","TC297","Shade Aegis","shade","level_up"
"E033","Sparrook","20","TC362","Tide Surge","tide","level_up"
"E033","Sparrook","25","TC021","Shade Nova","shade","level_up"
"E033","Sparrook","30","TC074","Tide Crash","tide","level_up"
"E033","Sparrook","36","TC189","Shade Ward","shade","level_up"
"E033","Sparrook","44","TC242","Tide Surge","tide","level_up"
"E033","Sparrook","52","TC357","Shade Aegis","shade","level_up"
"E033","Sparrook","62","TC410","Tide Blade","tide","level_up"
"E034","Mirelynx","1","TC418","Radiant Burst","radiant","level_up"
"E034","Mirelynx","4","TC058","Radiant Burst","radiant","level_up"
"E034","Mirelynx","8","TC142","Radiant Rift","radiant","level_up"
"E034","Mirelynx","12","TC226","Radiant Field","radiant","level_up"
"E034","Mirelynx","16","TC310","Radiant Lance","radiant","level_up"
"E034","Mirelynx","20","TC394","Radiant Spiral","radiant","level_up"
"E034","Mirelynx","25","TC034","Radiant Spiral","radiant","level_up"
"E034","Mirelynx","30","TC118","Radiant Burst","radiant","level_up"
"E034","Mirelynx","36","TC202","Radiant Rift","radiant","level_up"
"E034","Mirelynx","44","TC286","Radiant Field","radiant","level_up"
"E034","Mirelynx","52","TC370","Radiant Lance","radiant","level_up"
"E034","Mirelynx","62","TC010","Radiant Lance","radiant","level_up"
"E035","Basalisk","1","TC431","Mind Step","mind","level_up"
"E035","Basalisk","4","TC071","Mind Step","mind","level_up"
"E035","Basalisk","8","TC155","Mind Crown","mind","level_up"
"E035","Basalisk","12","TC239","Mind Orbit","mind","level_up"
"E035","Basalisk","16","TC323","Mind Comet","mind","level_up"
"E035","Basalisk","20","TC407","Mind Mark","mind","level_up"
"E035","Basalisk","25","TC047","Mind Mark","mind","level_up"
"E035","Basalisk","30","TC131","Mind Step","mind","level_up"
"E035","Basalisk","36","TC215","Mind Crown","mind","level_up"
"E035","Basalisk","44","TC299","Mind Orbit","mind","level_up"
"E035","Basalisk","52","TC383","Mind Comet","mind","level_up"
"E035","Basalisk","62","TC023","Mind Comet","mind","level_up"
"E036","Aurabeet","1","TC444","Echo Bind","echo","level_up"
"E036","Aurabeet","4","TC065","Gale Crown","gale","level_up"
"E036","Aurabeet","8","TC168","Echo Rush","echo","level_up"
"E036","Aurabeet","12","TC233","Gale Comet","gale","level_up"
"E036","Aurabeet","16","TC336","Echo Pulse","echo","level_up"
"E036","Aurabeet","20","TC401","Gale Step","gale","level_up"
"E036","Aurabeet","25","TC060","Echo Needle","echo","level_up"
"E036","Aurabeet","30","TC113","Gale Comet","gale","level_up"
"E036","Aurabeet","36","TC228","Echo Rush","echo","level_up"
"E036","Aurabeet","44","TC281","Gale Step","gale","level_up"
"E036","Aurabeet","52","TC396","Echo Pulse","echo","level_up"
"E036","Aurabeet","62","TC449","Gale Orbit","gale","level_up"
"E037","Duskrill","1","TC445","Ember Mirror","ember","level_up"
"E037","Duskrill","4","TC073","Ember Guard","ember","level_up"
"E037","Duskrill","8","TC157","Ember Fang","ember","level_up"
"E037","Duskrill","12","TC241","Ember Snap","ember","level_up"
"E037","Duskrill","16","TC325","Ember Mirror","ember","level_up"
"E037","Duskrill","20","TC409","Ember Song","ember","level_up"
"E037","Duskrill","25","TC037","Ember Fang","ember","level_up"
"E037","Duskrill","30","TC121","Ember Snap","ember","level_up"
"E037","Duskrill","36","TC205","Ember Mirror","ember","level_up"
"E037","Duskrill","44","TC289","Ember Song","ember","level_up"
"E037","Duskrill","52","TC373","Ember Guard","ember","level_up"
"E037","Duskrill","62","TC001","Ember Snap","ember","level_up"
"E038","Chimefin","1","TC002","Tide Surge","tide","level_up"
