"area_id","city_id","habitat","encounter_slot","species_id","species_name","min_level","max_level","rarity_weight","time_rule","weather_rule"
"area_06_05","city_06","night_marsh","5","E170","Sootcrab","16","22","8","any","any"
"area_06_06","city_06","coast","6","E181","Mirequill","14","23","32","day","clear"
"area_06_07","city_06","storm_harbor","7","E192","Verdantwing","15","24","32","night","rain"
"area_06_08","city_06","old_fortress","8","E203","Mosscrab","16","25","32","rain","storm"
"area_06_09","city_06","industrial","9","E214","Mindfin","14","26","32","wind","fog"
"area_06_10","city_06","reclaimed_war_zone","10","E225","Stonewing","15","22","18","any","any"
"area_07_01","city_07","sealed_border","1","E145","Aurafawn","18","26","18","day","clear"
"area_07_02","city_07","volcanic_port","2","E156","Lumenvole","19","27","32","night","rain"
"area_07_03","city_07","trade_city","3","E167","Verdantjaw","17","28","32","rain","storm"
"area_07_04","city_07","lower_archive","4","E178","Stonebuck","18","29","32","wind","fog"
"area_07_05","city_07","mountain","5","E189","Echomole","19","25","32","any","any"
"area_07_06","city_07","night_marsh","6","E200","Nullmoth","17","26","18","day","clear"
"area_07_07","city_07","coast","7","E211","Ashroot","18","27","32","night","rain"
"area_07_08","city_07","storm_harbor","8","E222","Tidepincer","19","28","32","rain","storm"
"area_07_09","city_07","old_fortress","9","E233","Thornbuck","17","29","32","wind","fog"
"area_07_10","city_07","industrial","10","E244","Emberjaw","18","25","32","any","any"
"area_08_01","city_08","suspended_bridges","1","E164","Ironquill","21","29","32","day","clear"
"area_08_02","city_08","sealed_border","2","E175","Reedmoth","22","30","18","night","rain"
"area_08_03","city_08","volcanic_port","3","E186","Tidevole","20","31","32","rain","storm"
"area_08_04","city_08","trade_city","4","E197","Copperroot","21","32","32","wind","fog"
"area_08_05","city_08","lower_archive","5","E208","Frostmant","22","28","32","any","any"
"area_08_06","city_08","mountain","6","E219","Frostquill","20","29","32","day","clear"
"area_08_07","city_08","night_marsh","7","E230","Rimehorn","21","30","18","night","rain"
"area_08_08","city_08","coast","8","E241","Lumenroot","22","31","32","rain","storm"
"area_08_09","city_08","storm_harbor","9","E252","Mindquill","20","32","32","wind","fog"
"area_08_10","city_08","old_fortress","10","E263","Stonebloom","21","28","32","any","any"
"area_09_01","city_09","marsh","1","E183","Mindbeak","24","32","32","day","clear"
"area_09_02","city_09","suspended_bridges","2","E194","Brinecoil","25","33","32","night","rain"
"area_09_03","city_09","sealed_border","3","E205","Lumebuck","23","34","18","rain","storm"
"area_09_04","city_09","volcanic_port","4","E216","Sparkglass","24","35","32","wind","fog"
"area_09_05","city_09","trade_city","5","E227","Mirejaw","25","31","32","any","any"
"area_09_06","city_09","lower_archive","6","E238","Sparkquill","23","32","8","day","clear"
"area_09_07","city_09","mountain","7","E249","Rimeglass","24","33","32","night","rain"
"area_09_08","city_09","night_marsh","8","E260","Reedflare","25","34","18","rain","storm"
"area_09_09","city_09","coast","9","E271","Frostjaw","23","35","32","wind","fog"
"area_09_10","city_09","storm_harbor","10","E282","Umbryx","24","31","32","any","any"
"area_10_01","city_10","capital","1","E202","Tidewing","27","35","32","day","clear"
"area_10_02","city_10","marsh","2","E213","Galebloom","28","36","32","night","rain"
"area_10_03","city_10","suspended_bridges","3","E224","Nullvole","26","37","32","rain","storm"
"area_10_04","city_10","sealed_border","4","E235","Brineglass","27","38","18","wind","fog"
"area_10_05","city_10","volcanic_port","5","E246","Echofin","28","34","32","any","any"
"area_10_06","city_10","trade_city","6","E257","Aurawing","26","35","32","day","clear"
"area_10_07","city_10","lower_archive","7","E268","Galepincer","27","36","32","night","rain"
"area_10_08","city_10","mountain","8","E279","Echomantle","28","37","32","rain","storm"
"area_10_09","city_10","archive","9","E005","Pebbun","26","38","18","wind","fog"
"area_10_10","city_10","flooded_ruins","10","E016","Siltjaw","27","34","32","any","any"
"area_11_01","city_11","monastery_cliffs","1","E221","Verdantcoil","30","38","8","day","clear"
"area_11_02","city_11","capital","2","E232","Ironkit","31","39","32","night","rain"
"area_11_03","city_11","marsh","3","E243","Tidecrab","29","40","32","rain","storm"
"area_11_04","city_11","suspended_bridges","4","E254","Ashhare","30","41","32","wind","fog"
"area_11_05","city_11","sealed_border","5","E265","Verdantfin","31","37","18","any","any"
"area_11_06","city_11","volcanic_port","6","E276","Copperwing","29","38","32","day","clear"
"area_11_07","city_11","farmland","7","E002","Reeva","30","39","32","night","rain"
"area_11_08","city_11","mining_city","8","E013","Snowlume","31","40","32","rain","storm"
"area_11_09","city_11","greenhouse_port","9","E024","Galdra","29","41","32","wind","fog"
"area_11_10","city_11","archive","10","E035","Basalisk","30","37","18","any","any"
"area_12_01","city_12","restored_hub","1","E240","Copperhare","33","41","18","day","clear"
"area_12_02","city_12","monastery_cliffs","2","E251","Galestag","34","42","32","night","rain"
"area_12_03","city_12","capital","3","E262","Embervole","32","43","32","rain","storm"
"area_12_04","city_12","marsh","4","E273","Shadebloom","33","44","32","wind","fog"
"area_12_05","city_12","suspended_bridges","5","E284","Tidecrown","34","40","32","any","any"
"area_12_06","city_12","wetland_tower","6","E010","Whisprill","32","41","18","day","clear"
"area_12_07","city_12","frozen_music_city","7","E021","Sablisk","33","42","32","night","rain"
"area_12_08","city_12","farmland","8","E032","Glazetail","34","43","32","rain","storm"
"area_12_09","city_12","mining_city","9","E043","Coppershell","32","44","32","wind","fog"
"area_12_10","city_12","greenhouse_port","10","E054","Glintoad","33","40","32","any","any"
"area_13_01","city_13","abandoned_relay","1","E259","Copperstag","36","44","32","day","clear"
"area_13_02","city_13","restored_hub","2","E270","Sparkstag","37","45","18","night","rain"
"area_13_03","city_13","monastery_cliffs","3","E281","Auralith","35","46","32","rain","storm"
"area_13_04","city_13","canopy","4","E007","Nibvolt","36","47","32","wind","fog"
"area_13_05","city_13","forge_city","5","E018","Echorn","37","43","32","any","any"
"area_13_06","city_13","corrupted_city","6","E029","Cindrill","35","44","32","day","clear"
"area_13_07","city_13","wetland_tower","7","E040","Mossgale","36","45","18","night","rain"
"area_13_08","city_13","frozen_music_city","8","E051","Axolume","37","46","8","rain","storm"
"area_13_09","city_13","farmland","9","E062","Verdillo","35","47","32","wind","fog"
"area_13_10","city_13","mining_city","10","E073","Copperkite","36","43","32","any","any"
"area_14_01","city_14","desert","1","E278","Tideflare","39","47","32","day","clear"
"area_14_02","city_14","industrial","2","E004","Flickit","40","48","32","night","rain"
"area_14_03","city_14","reclaimed_war_zone","3","E015","Corren","38","49","18","rain","storm"
"area_14_04","city_14","golden_tower","4","E026","Tideglass","39","50","32","wind","fog"
"area_14_05","city_14","canopy","5","E037","Duskrill","40","46","32","any","any"
"area_14_06","city_14","forge_city","6","E048","Stonefin","38","47","32","day","clear"
"area_14_07","city_14","corrupted_city","7","E059","Voltcrab","39","48","32","night","rain"
"area_14_08","city_14","wetland_tower","8","E070","Basalthorn","40","49","18","rain","storm"
"area_14_09","city_14","frozen_music_city","9","E081","Prismole","38","50","32","wind","fog"
"area_14_10","city_14","farmland","10","E092","Bramblet","39","46","32","any","any"
"area_15_01","city_15","storm_harbor","1","E012","Bronzawn","42","50","32","day","clear"
"area_15_02","city_15","old_fortress","2","E023","Lunaveil","43","51","32","night","rain"
"area_15_03","city_15","industrial","3","E034","Mirelynx","41","52","8","rain","storm"
"area_15_04","city_15","reclaimed_war_zone","4","E045","Sunquill","42","53","18","wind","fog"
"area_15_05","city_15","golden_tower","5","E056","Ironpup","43","49","32","any","any"
"area_15_06","city_15","canopy","6","E067","Brinewing","41","50","32","day","clear"
"area_15_07","city_15","forge_city","7","E078","Windleap","42","51","32","night","rain"
"area_15_08","city_15","corrupted_city","8","E089","Reedwhale","43","52","32","rain","storm"
"area_15_09","city_15","wetland_tower","9","E100","Verdantle","41","53","18","wind","fog"
"area_15_10","city_15","frozen_music_city","10","E111","Sootstag","42","49","32","any","any"
"area_16_01","city_16","coast","1","E031","Thornox","45","53","32","day","clear"
"area_16_02","city_16","storm_harbor","2","E042","Opalyn","46","54","32","night","rain"
"area_16_03","city_16","old_fortress","3","E053","Galebit","44","55","32","rain","storm"
"area_16_04","city_16","industrial","4","E064","Lumenhare","45","56","32","wind","fog"
"area_16_05","city_16","reclaimed_war_zone","5","E075","Myrraven","46","52","18","any","any"
"area_16_06","city_16","golden_tower","6","E086","Siltshell","44","53","32","day","clear"
"area_16_07","city_16","canopy","7","E097","Shiverfin","45","54","32","night","rain"
"area_16_08","city_16","forge_city","8","E108","Mindvole","46","55","32","rain","storm"
"area_16_09","city_16","corrupted_city","9","E119","Opalcrab","44","56","8","wind","fog"
"area_16_10","city_16","wetland_tower","10","E130","Lumespire","45","52","18","any","any"
"area_17_01","city_17","night_marsh","1","E050","Bellroot","48","56","18","day","clear"
"area_17_02","city_17","coast","2","E061","Tidepup","49","57","32","night","rain"
"area_17_03","city_17","storm_harbor","3","E072","Shadefin","47","58","32","rain","storm"
"area_17_04","city_17","old_fortress","4","E083","Voltlynx","48","59","32","wind","fog"
"area_17_05","city_17","industrial","5","E094","Nulltick","49","55","32","any","any"
"area_17_06","city_17","reclaimed_war_zone","6","E105","Frosthare","47","56","18","day","clear"
"area_17_07","city_17","golden_tower","7","E116","Marshlyn","48","57","32","night","rain"
"area_17_08","city_17","canopy","8","E127","Mindroot","49","58","32","rain","storm"
"area_17_09","city_17","forge_city","9","E138","Thornmole","47","59","32","wind","fog"
"area_17_10","city_17","corrupted_city","10","E149","Embercoil","48","55","32","any","any"
"area_18_01","city_18","mountain","1","E069","Sparkferret","51","59","32","day","clear"
"area_18_02","city_18","night_marsh","2","E080","Moltusk","52","60","18","night","rain"
"area_18_03","city_18","coast","3","E091","Lumidrake","50","61","32","rain","storm"
"area_18_04","city_18","storm_harbor","4","E102","Glimmeray","51","62","8","wind","fog"
"area_18_05","city_18","old_fortress","5","E113","Stonequill","52","58","32","any","any"
"area_18_06","city_18","industrial","6","E124","Frostbloom","50","59","32","day","clear"
"area_18_07","city_18","reclaimed_war_zone","7","E135","Mirehorn","51","60","18","night","rain"
"area_18_08","city_18","golden_tower","8","E146","Tidequill","52","61","32","rain","storm"
"area_18_09","city_18","canopy","9","E157","Brinehorn","50","62","32","wind","fog"
"area_18_10","city_18","forge_city","10","E168","Veyrwing","51","58","32","any","any"
"area_19_01","city_19","lower_archive","1","E088","Mindjaw","54","62","32","day","clear"
"area_19_02","city_19","mountain","2","E099","Echolisk","55","63","32","night","rain"
"area_19_03","city_19","night_marsh","3","E110","Brinekit","53","64","18","rain","storm"
"area_19_04","city_19","coast","4","E121","Verdusk","54","65","32","wind","fog"
"area_19_05","city_19","storm_harbor","5","E132","Basalfin","55","61","32","any","any"
"area_19_06","city_19","old_fortress","6","E143","Glazemoth","53","62","32","day","clear"
"area_19_07","city_19","industrial","7","E154","Frostlynx","54","63","32","night","rain"
"area_19_08","city_19","reclaimed_war_zone","8","E165","Rimepup","55","64","18","rain","storm"
"area_19_09","city_19","golden_tower","9","E176","Nulljaw","53","65","32","wind","fog"
"area_19_10","city_19","canopy","10","E187","Frostroot","54","61","8","any","any"
"area_20_01","city_20","trade_city","1","E107","Rootcoil","57","65","32","day","clear"
"area_20_02","city_20","lower_archive","2","E118","Flarehorn","58","66","32","night","rain"
"area_20_03","city_20","mountain","3","E129","Cindershell","56","67","32","rain","storm"
"area_20_04","city_20","night_marsh","4","E140","Prismfin","57","68","18","wind","fog"
"area_20_05","city_20","coast","5","E151","Mindcrab","58","64","32","any","any"
"area_20_06","city_20","storm_harbor","6","E162","Tidebloom","56","65","32","day","clear"
"area_20_07","city_20","old_fortress","7","E173","Frostcoil","57","66","32","night","rain"
"area_20_08","city_20","industrial","8","E184","Thornkit","58","67","32","rain","storm"
"area_20_09","city_20","reclaimed_war_zone","9","E195","Lurkflare","56","68","18","wind","fog"
"area_20_10","city_20","golden_tower","10","E206","Stonevole","57","64","32","any","any"
"area_21_01","city_21","volcanic_port","1","E126","Tidehorn","60","68","32","day","clear"
"area_21_02","city_21","trade_city","2","E137","Voltwing","61","69","32","night","rain"
"area_21_03","city_21","lower_archive","3","E148","Windroot","59","70","32","rain","storm"
"area_21_04","city_21","mountain","4","E159","Copperjaw","60","71","32","wind","fog"
"area_21_05","city_21","night_marsh","5","E170","Sootcrab","61","67","8","any","any"
"area_21_06","city_21","coast","6","E181","Mirequill","59","68","32","day","clear"
"area_21_07","city_21","storm_harbor","7","E192","Verdantwing","60","69","32","night","rain"
"area_21_08","city_21","old_fortress","8","E203","Mosscrab","61","70","32","rain","storm"
"area_21_09","city_21","industrial","9","E214","Mindfin","59","71","32","wind","fog"
"area_21_10","city_21","reclaimed_war_zone","10","E225","Stonewing","60","67","18","any","any"
"area_22_01","city_22","sealed_border","1","E145","Aurafawn","63","71","18","day","clear"
"area_22_02","city_22","volcanic_port","2","E156","Lumenvole","64","72","32","night","rain"
"area_22_03","city_22","trade_city","3","E167","Verdantjaw","62","73","32","rain","storm"
"area_22_04","city_22","lower_archive","4","E178","Stonebuck","63","74","32","wind","fog"
"area_22_05","city_22","mountain","5","E189","Echomole","64","70","32","any","any"
"area_22_06","city_22","night_marsh","6","E200","Nullmoth","62","71","18","day","clear"
"area_22_07","city_22","coast","7","E211","Ashroot","63","72","32","night","rain"
"area_22_08","city_22","storm_harbor","8","E222","Tidepincer","64","73","32","rain","storm"
"area_22_09","city_22","old_fortress","9","E233","Thornbuck","62","74","32","wind","fog"
"area_22_10","city_22","industrial","10","E244","Emberjaw","63","70","32","any","any"
"area_23_01","city_23","suspended_bridges","1","E164","Ironquill","66","74","32","day","clear"
"area_23_02","city_23","sealed_border","2","E175","Reedmoth","67","75","18","night","rain"
"area_23_03","city_23","volcanic_port","3","E186","Tidevole","65","76","32","rain","storm"
"area_23_04","city_23","trade_city","4","E197","Copperroot","66","77","32","wind","fog"
"area_23_05","city_23","lower_archive","5","E208","Frostmant","67","73","32","any","any"
"area_23_06","city_23","mountain","6","E219","Frostquill","65","74","32","day","clear"
"area_23_07","city_23","night_marsh","7","E230","Rimehorn","66","75","18","night","rain"
"area_23_08","city_23","coast","8","E241","Lumenroot","67","76","32","rain","storm"
"area_23_09","city_23","storm_harbor","9","E252","Mindquill","65","77","32","wind","fog"
"area_23_10","city_23","old_fortress","10","E263","Stonebloom","66","73","32","any","any"
"area_24_01","city_24","marsh","1","E183","Mindbeak","69","77","32","day","clear"
"area_24_02","city_24","suspended_bridges","2","E194","Brinecoil","70","78","32","night","rain"
"area_24_03","city_24","sealed_border","3","E205","Lumebuck","68","79","18","rain","storm"
"area_24_04","city_24","volcanic_port","4","E216","Sparkglass","69","80","32","wind","fog"
"area_24_05","city_24","trade_city","5","E227","Mirejaw","70","76","32","any","any"
"area_24_06","city_24","lower_archive","6","E238","Sparkquill","68","77","8","day","clear"
"area_24_07","city_24","mountain","7","E249","Rimeglass","69","78","32","night","rain"
"area_24_08","city_24","night_marsh","8","E260","Reedflare","70","79","18","rain","storm"
"area_24_09","city_24","coast","9","E271","Frostjaw","68","80","32","wind","fog"
"area_24_10","city_24","storm_harbor","10","E282","Umbryx","69","76","32","any","any"
"area_25_01","city_25","capital","1","E202","Tidewing","72","80","32","day","clear"
"area_25_02","city_25","marsh","2","E213","Galebloom","73","81","32","night","rain"
"area_25_03","city_25","suspended_bridges","3","E224","Nullvole","71","82","32","rain","storm"
"area_25_04","city_25","sealed_border","4","E235","Brineglass","72","83","18","wind","fog"
"area_25_05","city_25","volcanic_port","5","E246","Echofin","73","79","32","any","any"
"area_25_06","city_25","trade_city","6","E257","Aurawing","71","80","32","day","clear"
"area_25_07","city_25","lower_archive","7","E268","Galepincer","72","81","32","night","rain"
"area_25_08","city_25","mountain","8","E279","Echomantle","73","82","32","rain","storm"
"area_25_09","city_25","archive","9","E005","Pebbun","71","83","18","wind","fog"
"area_25_10","city_25","flooded_ruins","10","E016","Siltjaw","72","79","32","any","any"
"area_26_01","city_26","monastery_cliffs","1","E221","Verdantcoil","75","83","8","day","clear"
"area_26_02","city_26","capital","2","E232","Ironkit","76","84","32","night","rain"
"area_26_03","city_26","marsh","3","E243","Tidecrab","74","85","32","rain","storm"
"area_26_04","city_26","suspended_bridges","4","E254","Ashhare","75","86","32","wind","fog"
"area_26_05","city_26","sealed_border","5","E265","Verdantfin","76","82","18","any","any"
"area_26_06","city_26","volcanic_port","6","E276","Copperwing","74","83","32","day","clear"
"area_26_07","city_26","farmland","7","E002","Reeva","75","84","32","night","rain"
"area_26_08","city_26","mining_city","8","E013","Snowlume","76","85","32","rain","storm"
"area_26_09","city_26","greenhouse_port","9","E024","Galdra","74","86","32","wind","fog"
"area_26_10","city_26","archive","10","E035","Basalisk","75","82","18","any","any"
"area_27_01","city_27","restored_hub","1","E240","Copperhare","78","86","18","day","clear"
"area_27_02","city_27","monastery_cliffs","2","E251","Galestag","79","87","32","night","rain"
"area_27_03","city_27","capital","3","E262","Embervole","77","88","32","rain","storm"
"area_27_04","city_27","marsh","4","E273","Shadebloom","78","89","32","wind","fog"
"area_27_05","city_27","suspended_bridges","5","E284","Tidecrown","79","85","32","any","any"
"area_27_06","city_27","wetland_tower","6","E010","Whisprill","77","86","18","day","clear"
"area_27_07","city_27","frozen_music_city","7","E021","Sablisk","78","87","32","night","rain"
"area_27_08","city_27","farmland","8","E032","Glazetail","79","88","32","rain","storm"
"area_27_09","city_27","mining_city","9","E043","Coppershell","77","89","32","wind","fog"
"area_27_10","city_27","greenhouse_port","10","E054","Glintoad","78","85","32","any","any"
"area_28_01","city_28","abandoned_relay","1","E259","Copperstag","81","89","32","day","clear"
"area_28_02","city_28","restored_hub","2","E270","Sparkstag","82","90","18","night","rain"
"area_28_03","city_28","monastery_cliffs","3","E281","Auralith","80","91","32","rain","storm"
"area_28_04","city_28","canopy","4","E007","Nibvolt","81","92","32","wind","fog"
"area_28_05","city_28","forge_city","5","E018","Echorn","82","88","32","any","any"
"area_28_06","city_28","corrupted_city","6","E029","Cindrill","80","89","32","day","clear"
"area_28_07","city_28","wetland_tower","7","E040","Mossgale","81","90","18","night","rain"
"area_28_08","city_28","frozen_music_city","8","E051","Axolume","82","91","8","rain","storm"
"area_28_09","city_28","farmland","9","E062","Verdillo","80","92","32","wind","fog"
"area_28_10","city_28","mining_city","10","E073","Copperkite","81","88","32","any","any"
"area_29_01","city_29","desert","1","E278","Tideflare","84","92","32","day","clear"
"area_29_02","city_29","industrial","2","E004","Flickit","85","93","32","night","rain"
"area_29_03","city_29","reclaimed_war_zone","3","E015","Corren","83","94","18","rain","storm"
"area_29_04","city_29","golden_tower","4","E026","Tideglass","84","95","32","wind","fog"
"area_29_05","city_29","canopy","5","E037","Duskrill","85","91","32","any","any"
"area_29_06","city_29","forge_city","6","E048","Stonefin","83","92","32","day","clear"
"area_29_07","city_29","corrupted_city","7","E059","Voltcrab","84","93","32","night","rain"
"area_29_08","city_29","wetland_tower","8","E070","Basalthorn","85","94","18","rain","storm"
"area_29_09","city_29","frozen_music_city","9","E081","Prismole","83","95","32","wind","fog"
"area_29_10","city_29","farmland","10","E092","Bramblet","84","91","32","any","any"
"area_30_01","city_30","storm_harbor","1","E012","Bronzawn","87","95","32","day","clear"
"area_30_02","city_30","old_fortress","2","E023","Lunaveil","88","96","32","night","rain"
"area_30_03","city_30","industrial","3","E034","Mirelynx","86","97","8","rain","storm"
"area_30_04","city_30","reclaimed_war_zone","4","E045","Sunquill","87","98","18","wind","fog"
"area_30_05","city_30","golden_tower","5","E056","Ironpup","88","94","32","any","any"
"area_30_06","city_30","canopy","6","E067","Brinewing","86","95","32","day","clear"
"area_30_07","city_30","forge_city","7","E078","Windleap","87","96","32","night","rain"
"area_30_08","city_30","corrupted_city","8","E089","Reedwhale","88","97","32","rain","storm"
"area_30_09","city_30","wetland_tower","9","E100","Verdantle","86","98","18","wind","fog"
"area_30_10","city_30","frozen_music_city","10","E111","Sootstag","87","94","32","any","any"
