"npc_id","npc_name","world_role","placed_in_world","team_size","level_policy","base_level","can_scale_to_player","species_1","species_2","species_3","species_4","species_5","species_6","contains_legendary","held_item_tier","ai_tier"
"NPC0061","Ira Silt","fixed_world_battle","true","2","fixed_first_clear","5","false","E156","E185","","","","","false","none","basic"
"NPC0062","Juno Keir","fixed_world_battle","true","2","fixed_first_clear","9","false","E176","E205","","","","","false","none","basic"
"NPC0063","Kira Noct","fixed_world_battle","true","2","fixed_first_clear","13","false","E196","E225","","","","","false","none","basic"
"NPC0064","Lio Arc","fixed_world_battle","true","3","fixed_first_clear","9","false","E216","E245","E274","","","","false","none","basic"
"NPC0065","Mira Holt","fixed_world_battle","true","3","fixed_first_clear","13","false","E236","E265","E009","","","","false","none","basic"
"NPC0066","Nox Sol","fixed_world_battle","true","3","fixed_first_clear","17","false","E256","E285","E029","","","","false","none","normal"
"NPC0067","Oren Maren","fixed_world_battle","true","3","fixed_first_clear","21","false","E276","E020","E049","","","","false","none","normal"
"NPC0068","Pax Tor","fixed_world_battle","true","3","fixed_first_clear","25","false","E011","E040","E069","","","","false","none","normal"
"NPC0069","Quin Vale","fixed_world_battle","true","3","fixed_first_clear","29","false","E031","E060","E089","","","","false","none","normal"
"NPC0070","Rhea Quill","fixed_world_battle","true","4","fixed_first_clear","33","true","E051","E080","E109","E138","","","false","none","normal"
"NPC0071","Senn Nox","fixed_world_battle","true","4","fixed_first_clear","37","true","E071","E100","E129","E158","","","false","none","normal"
"NPC0072","Talia Reed","fixed_world_battle","true","4","fixed_first_clear","33","true","E091","E120","E149","E178","","","false","standard","normal"
"NPC0073","Uma Esh","fixed_world_battle","true","4","fixed_first_clear","37","true","E111","E140","E169","E198","","","false","standard","normal"
"NPC0074","Venn Rusk","fixed_world_battle","true","4","fixed_first_clear","41","true","E131","E160","E189","E218","","","false","standard","normal"
"NPC0075","Wren Voss","fixed_world_battle","true","4","fixed_first_clear","45","true","E151","E180","E209","E238","","","false","standard","smart"
"NPC0076","Xara Rook","fixed_world_battle","true","4","fixed_first_clear","49","true","E171","E200","E229","E258","","","false","standard","smart"
"NPC0077","Yven Fenn","fixed_world_battle","true","4","fixed_first_clear","53","true","E191","E220","E249","E278","","","false","standard","smart"
"NPC0078","Zale Wren","fixed_world_battle","true","5","fixed_first_clear","57","true","E211","E240","E269","E013","E042","","false","standard","smart"
"NPC0079","Ari Pell","fixed_world_battle","true","5","fixed_first_clear","61","true","E231","E260","E004","E033","E062","","false","standard","smart"
"NPC0080","Bela Thane","fixed_world_battle","true","5","fixed_first_clear","57","true","E251","E280","E024","E053","E082","","false","standard","smart"
"NPC0081","Cato Silt","fixed_world_battle","true","5","fixed_first_clear","61","true","E271","E015","E044","E073","E102","","false","standard","smart"
"NPC0082","Dena Keir","fixed_world_battle","true","5","fixed_first_clear","65","true","E006","E035","E064","E093","E122","","false","standard","smart"
"NPC0083","Eron Noct","fixed_world_battle","true","5","fixed_first_clear","69","true","E026","E055","E084","E113","E142","","false","standard","smart"
"NPC0084","Fia Arc","fixed_world_battle","true","5","fixed_first_clear","73","true","E046","E075","E104","E133","E162","","false","standard","smart"
"NPC0085","Garr Holt","fixed_world_battle","true","6","fixed_first_clear","77","true","E066","E095","E124","E153","E182","E211","false","advanced","expert"
"NPC0086","Hale Sol","fixed_world_battle","true","6","fixed_first_clear","81","true","E086","E115","E144","E173","E202","E231","false","advanced","expert"
"NPC0087","Ira Maren","fixed_world_battle","true","6","fixed_first_clear","85","true","E106","E135","E164","E193","E222","E251","false","advanced","expert"
"NPC0088","Juno Tor","fixed_world_battle","true","6","fixed_first_clear","81","true","E126","E155","E184","E213","E242","E271","false","advanced","expert"
"NPC0089","Kira Vale","fixed_world_battle","true","6","fixed_first_clear","85","true","E146","E175","E204","E233","E262","E006","false","advanced","expert"
"NPC0090","Lio Quill","fixed_world_battle","true","6","fixed_first_clear","89","true","E166","E195","E224","E253","E282","E026","false","advanced","expert"
"NPC0091","Mira Nox","fixed_world_battle","true","2","fixed_first_clear","3","false","E081","E110","","","","","false","none","basic"
"NPC0092","Nox Reed","fixed_world_battle","true","2","fixed_first_clear","7","false","E101","E130","","","","","false","none","basic"
"NPC0093","Oren Esh","fixed_world_battle","true","2","fixed_first_clear","11","false","E121","E150","","","","","false","none","basic"
"NPC0094","Pax Rusk","fixed_world_battle","true","3","fixed_first_clear","15","false","E141","E170","E199","","","","false","none","basic"
"NPC0095","Quin Voss","fixed_world_battle","true","3","fixed_first_clear","19","false","E161","E190","E219","","","","false","none","basic"
"NPC0096","Rhea Rook","fixed_world_battle","true","3","fixed_first_clear","15","false","E181","E210","E239","","","","false","none","normal"
"NPC0097","Senn Fenn","fixed_world_battle","true","3","fixed_first_clear","19","false","E201","E230","E259","","","","false","none","normal"
"NPC0098","Talia Wren","fixed_world_battle","true","3","fixed_first_clear","23","false","E221","E250","E279","","","","false","none","normal"
"NPC0099","Uma Pell","fixed_world_battle","true","3","fixed_first_clear","27","false","E241","E270","E014","","","","false","none","normal"
"NPC0100","Venn Thane","fixed_world_battle","true","4","fixed_first_clear","31","true","E261","E005","E034","E063","","","false","none","normal"
"NPC0101","Wren Silt","fixed_world_battle","true","4","fixed_first_clear","35","true","E281","E025","E054","E083","","","false","none","normal"
"NPC0102","Xara Keir","fixed_world_battle","true","4","fixed_first_clear","39","true","E016","E045","E074","E103","","","false","standard","normal"
"NPC0103","Yven Noct","fixed_world_battle","true","4","fixed_first_clear","43","true","E036","E065","E094","E123","","","false","standard","normal"
"NPC0104","Zale Arc","fixed_world_battle","true","4","fixed_first_clear","39","true","E056","E085","E114","E143","","","false","standard","normal"
"NPC0105","Ari Holt","fixed_world_battle","true","4","fixed_first_clear","43","true","E076","E105","E134","E163","","","false","standard","smart"
"NPC0106","Bela Sol","fixed_world_battle","true","4","fixed_first_clear","47","true","E096","E125","E154","E183","","","false","standard","smart"
"NPC0107","Cato Maren","fixed_world_battle","true","4","fixed_first_clear","51","true","E116","E145","E174","E203","","","false","standard","smart"
"NPC0108","Dena Tor","fixed_world_battle","true","5","fixed_first_clear","55","true","E136","E165","E194","E223","E252","","false","standard","smart"
"NPC0109","Eron Vale","fixed_world_battle","true","5","fixed_first_clear","59","true","E156","E185","E214","E243","E272","","false","standard","smart"
"NPC0110","Fia Quill","fixed_world_battle","true","5","fixed_first_clear","63","true","E176","E205","E234","E263","E007","","false","standard","smart"
"NPC0111","Garr Nox","fixed_world_battle","true","5","fixed_first_clear","67","true","E196","E225","E254","E283","E027","","false","standard","smart"
"NPC0112","Hale Reed","fixed_world_battle","true","5","fixed_first_clear","63","true","E216","E245","E274","E018","E047","","false","standard","smart"
"NPC0113","Ira Esh","fixed_world_battle","true","5","fixed_first_clear","67","true","E236","E265","E009","E038","E067","","false","standard","smart"
"NPC0114","Juno Rusk","fixed_world_battle","true","5","fixed_first_clear","71","true","E256","E285","E029","E058","E087","","false","standard","smart"
"NPC0115","Kira Voss","fixed_world_battle","true","6","fixed_first_clear","75","true","E276","E020","E049","E078","E107","E136","false","advanced","expert"
"NPC0116","Lio Rook","fixed_world_battle","true","6","fixed_first_clear","79","true","E011","E040","E069","E098","E127","E156","false","advanced","expert"
"NPC0117","Mira Fenn","fixed_world_battle","true","6","fixed_first_clear","83","true","E031","E060","E089","E118","E147","E176","false","advanced","expert"
"NPC0118","Nox Wren","fixed_world_battle","true","6","fixed_first_clear","87","true","E051","E080","E109","E138","E167","E196","false","advanced","expert"
"NPC0119","Oren Pell","fixed_world_battle","true","6","fixed_first_clear","91","true","E071","E100","E129","E158","E187","E216","false","advanced","expert"
"NPC0120","Pax Thane","fixed_world_battle","true","6","fixed_first_clear","87","true","E091","E120","E149","E178","E207","E236","false","advanced","expert"
"NPC0121","Quin Silt","fixed_world_battle","true","2","fixed_first_clear","3","false","E006","E035","","","","","false","none","basic"
"NPC0122","Rhea Keir","fixed_world_battle","true","2","fixed_first_clear","5","false","E026","E055","","","","","false","none","basic"
"NPC0123","Senn Noct","fixed_world_battle","true","2","fixed_first_clear","9","false","E046","E075","","","","","false","none","basic"
"NPC0124","Talia Arc","fixed_world_battle","true","3","fixed_first_clear","13","false","E066","E095","E124","","","","false","none","basic"
"NPC0125","Uma Holt","fixed_world_battle","true","3","fixed_first_clear","17","false","E086","E115","E144","","","","false","none","basic"
"NPC0126","Venn Sol","fixed_world_battle","true","3","fixed_first_clear","21","false","E106","E135","E164","","","","false","none","normal"
"NPC0127","Wren Maren","fixed_world_battle","true","3","fixed_first_clear","25","false","E126","E155","E184","","","","false","none","normal"
"NPC0128","Xara Tor","fixed_world_battle","true","3","fixed_first_clear","21","false","E146","E175","E204","","","","false","none","normal"
"NPC0129","Yven Vale","fixed_world_battle","true","3","fixed_first_clear","25","false","E166","E195","E224","","","","false","none","normal"
"NPC0130","Zale Quill","fixed_world_battle","true","4","fixed_first_clear","29","true","E186","E215","E244","E273","","","false","none","normal"
"NPC0131","Ari Nox","fixed_world_battle","true","4","fixed_first_clear","33","true","E206","E235","E264","E008","","","false","none","normal"
"NPC0132","Bela Reed","fixed_world_battle","true","4","fixed_first_clear","37","true","E226","E255","E284","E028","","","false","standard","normal"
"NPC0133","Cato Esh","fixed_world_battle","true","4","fixed_first_clear","41","true","E246","E275","E019","E048","","","false","standard","normal"
"NPC0134","Dena Rusk","fixed_world_battle","true","4","fixed_first_clear","45","true","E266","E010","E039","E068","","","false","standard","normal"
"NPC0135","Eron Voss","fixed_world_battle","true","4","fixed_first_clear","49","true","E001","E030","E059","E088","","","false","standard","smart"
"NPC0136","Fia Rook","fixed_world_battle","true","4","fixed_first_clear","45","true","E021","E050","E079","E108","","","false","standard","smart"
"NPC0137","Garr Fenn","fixed_world_battle","true","4","fixed_first_clear","49","true","E041","E070","E099","E128","","","false","standard","smart"
"NPC0138","Hale Wren","fixed_world_battle","true","5","fixed_first_clear","53","true","E061","E090","E119","E148","E177","","false","standard","smart"
"NPC0139","Ira Pell","fixed_world_battle","true","5","fixed_first_clear","57","true","E081","E110","E139","E168","E197","","false","standard","smart"
"NPC0140","Juno Thane","fixed_world_battle","true","5","fixed_first_clear","61","true","E101","E130","E159","E188","E217","","false","standard","smart"
"NPC0141","Kira Silt","fixed_world_battle","true","5","fixed_first_clear","65","true","E121","E150","E179","E208","E237","","false","standard","smart"
"NPC0142","Lio Keir","fixed_world_battle","true","5","fixed_first_clear","69","true","E141","E170","E199","E228","E257","","false","standard","smart"
"NPC0143","Mira Noct","fixed_world_battle","true","5","fixed_first_clear","73","true","E161","E190","E219","E248","E277","","false","standard","smart"
"NPC0144","Nox Arc","fixed_world_battle","true","5","fixed_first_clear","69","true","E181","E210","E239","E268","E012","","false","standard","smart"
"NPC0145","Oren Holt","fixed_world_battle","true","6","fixed_first_clear","73","true","E201","E230","E259","E003","E032","E061","false","advanced","expert"
"NPC0146","Pax Sol","fixed_world_battle","true","6","fixed_first_clear","77","true","E221","E250","E279","E023","E052","E081","false","advanced","expert"
"NPC0147","Quin Maren","fixed_world_battle","true","6","fixed_first_clear","81","true","E241","E270","E014","E043","E072","E101","false","advanced","expert"
"NPC0148","Rhea Tor","fixed_world_battle","true","6","fixed_first_clear","85","true","E261","E005","E034","E063","E092","E121","false","advanced","expert"
"NPC0149","Senn Vale","fixed_world_battle","true","6","fixed_first_clear","89","true","E281","E025","E054","E083","E112","E141","false","advanced","expert"
"NPC0150","Talia Quill","fixed_world_battle","true","6","fixed_first_clear","93","true","E016","E045","E074","E103","E132","E161","false","advanced","expert"
"NPC0151","Uma Nox","fixed_world_battle","true","2","fixed_first_clear","7","false","E216","E245","","","","","false","none","basic"
"NPC0152","Venn Reed","fixed_world_battle","true","2","fixed_first_clear","3","false","E236","E265","","","","","false","none","basic"
"NPC0153","Wren Esh","fixed_world_battle","true","2","fixed_first_clear","7","false","E256","E285","","","","","false","none","basic"
"NPC0154","Xara Rusk","fixed_world_battle","true","3","fixed_first_clear","11","false","E276","E020","E049","","","","false","none","basic"
"NPC0155","Yven Voss","fixed_world_battle","true","3","fixed_first_clear","15","false","E011","E040","E069","","","","false","none","basic"
"NPC0156","Zale Rook","fixed_world_battle","true","3","fixed_first_clear","19","false","E031","E060","E089","","","","false","none","normal"
"NPC0157","Ari Fenn","fixed_world_battle","true","3","fixed_first_clear","23","false","E051","E080","E109","","","","false","none","normal"
"NPC0158","Bela Wren","fixed_world_battle","true","3","fixed_first_clear","27","false","E071","E100","E129","","","","false","none","normal"
"NPC0159","Cato Pell","fixed_world_battle","true","3","fixed_first_clear","31","false","E091","E120","E149","","","","false","none","normal"
"NPC0160","Dena Thane","fixed_world_battle","true","4","fixed_first_clear","27","true","E111","E140","E169","E198","","","false","none","normal"
"NPC0161","Eron Silt","fixed_world_battle","true","4","fixed_first_clear","31","true","E131","E160","E189","E218","","","false","none","normal"
"NPC0162","Fia Keir","fixed_world_battle","true","4","fixed_first_clear","35","true","E151","E180","E209","E238","","","false","standard","normal"
"NPC0163","Garr Noct","fixed_world_battle","true","4","fixed_first_clear","39","true","E171","E200","E229","E258","","","false","standard","normal"
"NPC0164","Hale Arc","fixed_world_battle","true","4","fixed_first_clear","43","true","E191","E220","E249","E278","","","false","standard","normal"
"NPC0165","Ira Holt","fixed_world_battle","true","4","fixed_first_clear","47","true","E211","E240","E269","E013","","","false","standard","smart"
"NPC0166","Juno Sol","fixed_world_battle","true","4","fixed_first_clear","51","true","E231","E260","E004","E033","","","false","standard","smart"
"NPC0167","Kira Maren","fixed_world_battle","true","4","fixed_first_clear","55","true","E251","E280","E024","E053","","","false","standard","smart"
"NPC0168","Lio Tor","fixed_world_battle","true","5","fixed_first_clear","51","true","E271","E015","E044","E073","E102","","false","standard","smart"
"NPC0169","Mira Vale","fixed_world_battle","true","5","fixed_first_clear","55","true","E006","E035","E064","E093","E122","","false","standard","smart"
"NPC0170","Nox Quill","fixed_world_battle","true","5","fixed_first_clear","59","true","E026","E055","E084","E113","E142","","false","standard","smart"
"NPC0171","Oren Nox","fixed_world_battle","true","5","fixed_first_clear","63","true","E046","E075","E104","E133","E162","","false","standard","smart"
"NPC0172","Pax Reed","fixed_world_battle","true","5","fixed_first_clear","67","true","E066","E095","E124","E153","E182","","false","standard","smart"
"NPC0173","Quin Esh","fixed_world_battle","true","5","fixed_first_clear","71","true","E086","E115","E144","E173","E202","","false","standard","smart"
"NPC0174","Rhea Rusk","fixed_world_battle","true","5","fixed_first_clear","75","true","E106","E135","E164","E193","E222","","false","standard","smart"
"NPC0175","Senn Voss","fixed_world_battle","true","6","fixed_first_clear","79","true","E126","E155","E184","E213","E242","E271","false","advanced","expert"
"NPC0176","Talia Rook","fixed_world_battle","true","6","fixed_first_clear","75","true","E146","E175","E204","E233","E262","E006","false","advanced","expert"
"NPC0177","Uma Fenn","fixed_world_battle","true","6","fixed_first_clear","79","true","E166","E195","E224","E253","E282","E026","false","advanced","expert"
"NPC0178","Venn Wren","fixed_world_battle","true","6","fixed_first_clear","83","true","E186","E215","E244","E273","E017","E046","false","advanced","expert"
"NPC0179","Wren Pell","fixed_world_battle","true","6","fixed_first_clear","87","true","E206","E235","E264","E008","E037","E066","false","advanced","expert"
"NPC0180","Xara Thane","fixed_world_battle","true","6","fixed_first_clear","91","true","E226","E255","E284","E028","E057","E086","false","advanced","expert"
"NPC0181","Yven Silt","fixed_world_battle","true","2","fixed_first_clear","5","false","E141","E170","","","","","false","none","basic"
"NPC0182","Zale Keir","fixed_world_battle","true","2","fixed_first_clear","9","false","E161","E190","","","","","false","none","basic"
"NPC0183","Ari Noct","fixed_world_battle","true","2","fixed_first_clear","13","false","E181","E210","","","","","false","none","basic"
"NPC0184","Bela Arc","fixed_world_battle","true","3","fixed_first_clear","9","false","E201","E230","E259","","","","false","none","basic"
"NPC0185","Cato Holt","fixed_world_battle","true","3","fixed_first_clear","13","false","E221","E250","E279","","","","false","none","basic"
"NPC0186","Dena Sol","fixed_world_battle","true","3","fixed_first_clear","17","false","E241","E270","E014","","","","false","none","normal"
"NPC0187","Eron Maren","fixed_world_battle","true","3","fixed_first_clear","21","false","E261","E005","E034","","","","false","none","normal"
"NPC0188","Fia Tor","fixed_world_battle","true","3","fixed_first_clear","25","false","E281","E025","E054","","","","false","none","normal"
"NPC0189","Garr Vale","fixed_world_battle","true","3","fixed_first_clear","29","false","E016","E045","E074","","","","false","none","normal"
"NPC0190","Hale Quill","fixed_world_battle","true","4","fixed_first_clear","33","true","E036","E065","E094","E123","","","false","none","normal"
"NPC0191","Ira Nox","fixed_world_battle","true","4","fixed_first_clear","37","true","E056","E085","E114","E143","","","false","none","normal"
"NPC0192","Juno Reed","fixed_world_battle","true","4","fixed_first_clear","33","true","E076","E105","E134","E163","","","false","standard","normal"
"NPC0193","Kira Esh","fixed_world_battle","true","4","fixed_first_clear","37","true","E096","E125","E154","E183","","","false","standard","normal"
"NPC0194","Lio Rusk","fixed_world_battle","true","4","fixed_first_clear","41","true","E116","E145","E174","E203","","","false","standard","normal"
"NPC0195","Mira Voss","fixed_world_battle","true","4","fixed_first_clear","45","true","E136","E165","E194","E223","","","false","standard","smart"
"NPC0196","Nox Rook","fixed_world_battle","true","4","fixed_first_clear","49","true","E156","E185","E214","E243","","","false","standard","smart"
"NPC0197","Oren Fenn","fixed_world_battle","true","4","fixed_first_clear","53","true","E176","E205","E234","E263","","","false","standard","smart"
"NPC0198","Pax Wren","fixed_world_battle","true","5","fixed_first_clear","57","true","E196","E225","E254","E283","E027","","false","standard","smart"
"NPC0199","Quin Pell","fixed_world_battle","true","5","fixed_first_clear","61","true","E216","E245","E274","E018","E047","","false","standard","smart"
"NPC0200","Rhea Thane","fixed_world_battle","true","5","fixed_first_clear","57","true","E236","E265","E009","E038","E067","","false","standard","smart"
"NPC0201","Senn Silt","fixed_world_battle","true","5","fixed_first_clear","61","true","E256","E285","E029","E058","E087","","false","standard","smart"
"NPC0202","Talia Keir","fixed_world_battle","true","5","fixed_first_clear","65","true","E276","E020","E049","E078","E107","","false","standard","smart"
"NPC0203","Uma Noct","fixed_world_battle","true","5","fixed_first_clear","69","true","E011","E040","E069","E098","E127","","false","standard","smart"
"NPC0204","Venn Arc","fixed_world_battle","true","5","fixed_first_clear","73","true","E031","E060","E089","E118","E147","","false","standard","smart"
"NPC0205","Wren Holt","fixed_world_battle","true","6","fixed_first_clear","77","true","E051","E080","E109","E138","E167","E196","false","advanced","expert"
"NPC0206","Xara Sol","fixed_world_battle","true","6","fixed_first_clear","81","true","E071","E100","E129","E158","E187","E216","false","advanced","expert"
"NPC0207","Yven Maren","fixed_world_battle","true","6","fixed_first_clear","85","true","E091","E120","E149","E178","E207","E236","false","advanced","expert"
"NPC0208","Zale Tor","fixed_world_battle","true","6","fixed_first_clear","81","true","E111","E140","E169","E198","E227","E256","false","advanced","expert"
"NPC0209","Ari Vale","fixed_world_battle","true","6","fixed_first_clear","85","true","E131","E160","E189","E218","E247","E276","false","advanced","expert"
"NPC0210","Bela Quill","fixed_world_battle","true","6","fixed_first_clear","89","true","E151","E180","E209","E238","E267","E011","false","advanced","expert"
"NPC0211","Cato Nox","fixed_world_battle","true","2","fixed_first_clear","3","false","E066","E095","","","","","false","none","basic"
"NPC0212","Dena Reed","fixed_world_battle","true","2","fixed_first_clear","7","false","E086","E115","","","","","false","none","basic"
"NPC0213","Eron Esh","fixed_world_battle","true","2","fixed_first_clear","11","false","E106","E135","","","","","false","none","basic"
"NPC0214","Fia Rusk","fixed_world_battle","true","3","fixed_first_clear","15","false","E126","E155","E184","","","","false","none","basic"
"NPC0215","Garr Voss","fixed_world_battle","true","3","fixed_first_clear","19","false","E146","E175","E204","","","","false","none","basic"
"NPC0216","Hale Rook","fixed_world_battle","true","3","fixed_first_clear","15","false","E166","E195","E224","","","","false","none","normal"
"NPC0217","Ira Fenn","fixed_world_battle","true","3","fixed_first_clear","19","false","E186","E215","E244","","","","false","none","normal"
"NPC0218","Juno Wren","fixed_world_battle","true","3","fixed_first_clear","23","false","E206","E235","E264","","","","false","none","normal"
