"id","name","rarity","legendary_tier","unique_per_save","npc_legal","pvp_default_legal","primary_element","secondary_element","growth_curve","base_vigor","base_force","base_focus","base_guard","base_ward","base_tempo","base_stat_total","base_xp_yield","catch_rate","evolution_stage","evolves_to","evolves_at_level","capture_method","habitat","instinct","field_tag"
"E076","Ashbloom","common","normal","false","true","true","stone","","fast","57","53","61","44","63","66","344","101","151","1","E077","20","quest_attunement","flooded_ruins","Stone Nerve","stone"
"E077","Seaglassel","common","normal","false","true","true","gale","","fast","66","65","46","63","53","58","351","102","152","2","E078","39","dungeon_finale","trade_city","Sky Step","gale"
"E078","Windleap","common","normal","false","true","true","spark","mind","fast","59","54","74","59","51","61","358","103","153","3","","","clear_prism","forge_city","Static Nerve","spark_mind"
"E079","Rootfinch","common","normal","false","true","true","frost","","fast","47","47","36","57","54","63","304","104","154","1","E080","17","habitat_prism","abandoned_relay","Cold Focus","frost"
"E080","Moltusk","uncommon","normal","false","true","true","metal","","medium","70","73","63","56","56","70","388","145","130","2","E081","34","element_prism","night_marsh","Iron Rhythm","metal"
"E081","Prismole","common","normal","false","true","true","shade","tide","fast","59","36","60","59","62","42","318","106","156","3","","","bond_event","frozen_music_city","Night Sense","shade_tide"
"E082","Duskhound","common","normal","false","true","true","radiant","","fast","52","57","55","55","63","43","325","107","157","1","E083","20","quest_attunement","capital","Lumen Guard","radiant"
"E083","Voltlynx","common","normal","false","true","true","mind","","fast","51","58","59","64","41","59","332","108","158","2","E084","37","dungeon_finale","old_fortress","Future Trace","mind"
"E084","Frosteel","common","normal","false","true","true","echo","gale","fast","59","70","44","51","64","51","339","109","159","3","","","clear_prism","greenhouse_port","Signal Bloom","echo_gale"
"E085","Auricub","rare","normal","false","true","true","ember","","slow","93","69","81","97","73","58","471","180","70","1","E086","17","habitat_prism","sealed_border","Pressure Vein","ember"
"E086","Siltshell","common","normal","false","true","true","tide","","fast","50","63","76","56","41","67","353","111","161","2","E087","40","element_prism","golden_tower","Rain Listener","tide"
"E087","Charrat","common","normal","false","true","true","verdance","metal","fast","53","69","53","71","60","54","360","112","162","3","","","bond_event","arena_island","Root Memory","verdance_metal"
"E088","Mindjaw","common","normal","false","true","true","stone","","fast","58","45","64","52","45","42","306","113","163","1","E089","20","quest_attunement","lower_archive","Stone Nerve","stone"
"E089","Reedwhale","common","normal","false","true","true","gale","","fast","55","47","39","60","57","55","313","114","164","2","E090","35","dungeon_finale","corrupted_city","Sky Step","gale"
"E090","Skypincer","uncommon","normal","false","true","true","spark","mind","medium","56","81","74","67","67","67","412","125","95","3","","","clear_prism","restored_hub","Static Nerve","spark_mind"
"E091","Lumidrake","common","normal","false","true","true","frost","","fast","65","55","52","47","52","56","327","71","166","1","E092","17","habitat_prism","coast","Cold Focus","frost"
"E092","Bramblet","common","normal","false","true","true","metal","","fast","55","51","52","53","59","64","334","72","167","2","E093","38","element_prism","farmland","Iron Rhythm","metal"
"E093","Embertoad","common","normal","false","true","true","shade","tide","fast","65","64","68","39","49","56","341","73","168","3","","","bond_event","marsh","Night Sense","shade_tide"
"E094","Nulltick","common","normal","false","true","true","radiant","","fast","74","43","52","59","73","47","348","74","169","1","E095","20","quest_attunement","industrial","Lumen Guard","radiant"
"E095","Galestone","uncommon","normal","false","true","true","mind","","medium","62","62","76","48","69","84","401","130","100","2","E096","41","dungeon_finale","archive","Future Trace","mind"
"E096","Tidemane","common","normal","false","true","true","echo","gale","fast","54","57","42","54","41","53","301","76","171","3","","","clear_prism","volcanic_port","Signal Bloom","echo_gale"
"E097","Shiverfin","common","normal","false","true","true","ember","","fast","57","63","51","37","58","42","308","77","172","1","E098","17","habitat_prism","canopy","Pressure Vein","ember"
"E098","Ironmoth","common","normal","false","true","true","tide","","fast","60","42","60","50","44","59","315","78","173","2","E099","36","element_prism","desert","Rain Listener","tide"
"E099","Echolisk","common","normal","false","true","true","verdance","metal","fast","54","63","56","45","41","63","322","79","174","3","","","bond_event","mountain","Root Memory","verdance_metal"
"E100","Verdantle","uncommon","normal","false","true","true","stone","","medium","62","74","71","65","65","53","390","135","105","1","E101","20","quest_attunement","wetland_tower","Stone Nerve","stone"
"E101","Ashmantle","common","normal","false","true","true","gale","","fast","75","55","56","51","55","44","336","81","176","2","E102","39","dungeon_finale","monastery_cliffs","Sky Step","gale"
"E102","Glimmeray","rare","normal","false","true","true","spark","mind","slow","86","70","75","76","84","76","467","172","87","3","","","clear_prism","storm_harbor","Static Nerve","spark_mind"
"E103","Sparkmole","common","normal","false","true","true","frost","","fast","57","75","48","51","62","57","350","83","178","1","E104","17","habitat_prism","mining_city","Cold Focus","frost"
"E104","Shadebuck","common","normal","false","true","true","metal","","fast","67","53","66","74","50","47","357","84","179","2","E105","34","element_prism","suspended_bridges","Iron Rhythm","metal"
"E105","Frosthare","uncommon","normal","false","true","true","shade","tide","medium","75","65","82","54","75","74","425","140","110","3","","","bond_event","reclaimed_war_zone","Night Sense","shade_tide"
"E106","Copperfin","common","normal","false","true","true","radiant","","fast","61","57","45","56","44","47","310","86","181","1","E107","20","quest_attunement","flooded_ruins","Lumen Guard","radiant"
"E107","Rootcoil","common","normal","false","true","true","mind","","fast","50","43","64","47","71","42","317","87","182","2","E108","37","dungeon_finale","trade_city","Future Trace","mind"
"E108","Mindvole","common","normal","false","true","true","echo","gale","fast","53","50","43","62","55","61","324","88","183","3","","","clear_prism","forge_city","Signal Bloom","echo_gale"
"E109","Galerusk","common","normal","false","true","true","ember","","fast","63","62","59","48","45","54","331","89","184","1","E110","17","habitat_prism","abandoned_relay","Pressure Vein","ember"
"E110","Brinekit","uncommon","normal","false","true","true","tide","","medium","88","51","51","84","84","56","414","145","115","2","E111","40","element_prism","night_marsh","Rain Listener","tide"
"E111","Sootstag","common","normal","false","true","true","verdance","metal","fast","53","54","57","53","57","71","345","91","186","3","","","bond_event","frozen_music_city","Root Memory","verdance_metal"
"E112","Lumenjaw","common","normal","false","true","true","stone","","fast","57","61","68","69","40","57","352","92","187","1","E113","20","quest_attunement","capital","Stone Nerve","stone"
"E113","Stonequill","common","normal","false","true","true","gale","","fast","66","74","52","54","65","48","359","93","188","2","E114","35","dungeon_finale","old_fortress","Sky Step","gale"
"E114","Veyrfin","common","normal","false","true","true","spark","mind","fast","58","40","52","58","40","57","305","94","189","3","","","clear_prism","greenhouse_port","Static Nerve","spark_mind"
"E115","Thundawn","uncommon","normal","false","true","true","frost","","medium","60","71","53","64","85","70","403","150","120","1","E116","17","habitat_prism","sealed_border","Cold Focus","frost"
"E116","Marshlyn","common","normal","false","true","true","metal","","fast","50","61","51","63","51","43","319","96","191","2","E117","38","element_prism","golden_tower","Iron Rhythm","metal"
"E117","Rimebeak","common","normal","false","true","true","shade","tide","fast","59","43","66","50","41","67","326","97","192","3","","","bond_event","arena_island","Night Sense","shade_tide"
"E118","Flarehorn","common","normal","false","true","true","radiant","","fast","61","50","46","64","58","54","333","98","193","1","E119","20","quest_attunement","lower_archive","Lumen Guard","radiant"
"E119","Opalcrab","rare","normal","false","true","true","mind","","slow","68","91","90","76","71","67","463","189","69","2","E120","41","dungeon_finale","corrupted_city","Future Trace","mind"
"E120","Duskmant","uncommon","normal","false","true","true","echo","gale","medium","84","66","70","57","57","58","392","125","125","3","","","clear_prism","restored_hub","Signal Bloom","echo_gale"
"E121","Verdusk","common","normal","false","true","true","ember","","fast","62","54","60","56","60","62","354","101","196","1","E122","17","habitat_prism","coast","Pressure Vein","ember"
"E122","Bellflare","common","normal","false","true","true","tide","","fast","66","62","40","38","45","49","300","102","197","2","E123","36","element_prism","farmland","Rain Listener","tide"
"E123","Sparkjaw","common","normal","false","true","true","verdance","metal","fast","48","41","54","57","67","40","307","103","198","3","","","bond_event","marsh","Root Memory","verdance_metal"
"E124","Frostbloom","common","normal","false","true","true","stone","","fast","52","48","64","38","51","61","314","104","199","1","E125","20","quest_attunement","industrial","Stone Nerve","stone"
"E125","Ironreed","uncommon","normal","false","true","true","gale","","medium","72","72","58","69","48","62","381","130","130","2","E126","39","dungeon_finale","archive","Sky Step","gale"
"E126","Tidehorn","common","normal","false","true","true","spark","mind","fast","64","67","60","39","59","39","328","106","201","3","","","clear_prism","volcanic_port","Static Nerve","spark_mind"
"E127","Mindroot","common","normal","false","true","true","frost","","fast","51","52","47","63","52","70","335","107","202","1","E128","17","habitat_prism","canopy","Cold Focus","frost"
"E128","Galehare","common","normal","false","true","true","metal","","fast","55","60","58","43","71","55","342","108","203","2","E129","34","element_prism","desert","Iron Rhythm","metal"
"E129","Cindershell","common","normal","false","true","true","shade","tide","fast","59","66","69","59","55","41","349","109","204","3","","","bond_event","mountain","Night Sense","shade_tide"
"E130","Lumespire","uncommon","normal","false","true","true","radiant","","medium","87","61","68","57","57","86","416","135","135","1","E131","20","quest_attunement","wetland_tower","Lumen Guard","radiant"
"E131","Shadevole","common","normal","false","true","true","mind","","fast","40","48","56","53","56","49","302","111","206","2","E132","37","dungeon_finale","monastery_cliffs","Future Trace","mind"
"E132","Basalfin","common","normal","false","true","true","echo","gale","fast","54","66","47","45","52","45","309","112","207","3","","","clear_prism","storm_harbor","Signal Bloom","echo_gale"
"E133","Echobit","common","normal","false","true","true","ember","","fast","57","42","57","59","36","65","316","113","208","1","E134","17","habitat_prism","mining_city","Pressure Vein","ember"
"E134","Bronzetail","common","normal","false","true","true","tide","","fast","66","54","42","46","59","56","323","114","209","2","E135","40","element_prism","suspended_bridges","Rain Listener","tide"
"E135","Mirehorn","uncommon","normal","false","true","true","verdance","metal","medium","58","80","69","80","58","60","405","140","95","3","","","bond_event","reclaimed_war_zone","Root Memory","verdance_metal"
"E136","Snowcrab","rare","normal","false","true","true","stone","","slow","70","55","90","62","90","92","459","181","86","1","E137","20","quest_attunement","flooded_ruins","Stone Nerve","stone"
"E137","Voltwing","common","normal","false","true","true","gale","","fast","60","52","51","66","55","60","344","72","212","2","E138","35","dungeon_finale","trade_city","Sky Step","gale"
"E138","Thornmole","common","normal","false","true","true","spark","mind","fast","70","66","68","52","44","51","351","73","213","3","","","clear_prism","forge_city","Static Nerve","spark_mind"
"E139","Ashraven","common","normal","false","true","true","frost","","fast","66","66","41","61","58","66","358","74","214","1","E140","17","habitat_prism","abandoned_relay","Cold Focus","frost"
"E140","Prismfin","uncommon","normal","false","true","true","metal","","medium","64","61","72","61","61","75","394","145","100","2","E141","38","element_prism","night_marsh","Iron Rhythm","metal"
"E141","Rootpup","common","normal","false","true","true","shade","tide","fast","48","49","59","56","58","41","311","76","146","3","","","bond_event","frozen_music_city","Night Sense","shade_tide"
"E142","Sablekit","common","normal","false","true","true","radiant","","fast","62","66","50","48","55","37","318","77","147","1","E143","20","quest_attunement","capital","Lumen Guard","radiant"
"E143","Glazemoth","common","normal","false","true","true","mind","","fast","64","42","60","62","40","57","325","78","148","2","E144","41","dungeon_finale","old_fortress","Future Trace","mind"
"E144","Ferruleap","common","normal","false","true","true","echo","gale","fast","53","58","49","53","67","52","332","79","149","3","","","clear_prism","greenhouse_port","Signal Bloom","echo_gale"
"E145","Aurafawn","uncommon","normal","false","true","true","ember","","medium","64","73","67","77","57","45","383","150","105","1","E146","17","habitat_prism","sealed_border","Pressure Vein","ember"
"E146","Tidequill","common","normal","false","true","true","tide","","fast","72","50","48","59","44","73","346","81","151","2","E147","36","element_prism","golden_tower","Rain Listener","tide"
"E147","Nullfin","common","normal","false","true","true","verdance","metal","fast","68","53","54","68","58","52","353","82","152","3","","","bond_event","arena_island","Root Memory","verdance_metal"
"E148","Windroot","common","normal","false","true","true","stone","","fast","56","71","76","59","52","46","360","83","153","1","E149","20","quest_attunement","lower_archive","Stone Nerve","stone"
"E149","Embercoil","common","normal","false","true","true","gale","","fast","49","36","43","62","59","57","306","84","154","2","E150","39","dungeon_finale","corrupted_city","Sky Step","gale"
"E150","Stonehare","uncommon","normal","false","true","true","spark","mind","medium","77","63","77","67","67","67","418","125","110","3","","","clear_prism","restored_hub","Static Nerve","spark_mind"
"E151","Mindcrab","common","normal","false","true","true","frost","","fast","74","66","48","41","44","47","320","86","156","1","E152","17","habitat_prism","coast","Cold Focus","frost"
"E152","Reedjaw","common","normal","false","true","true","metal","","fast","45","64","52","50","56","60","327","87","157","2","E153","34","element_prism","farmland","Iron Rhythm","metal"
"E153","Sparkbuck","rare","normal","false","true","true","shade","tide","slow","80","70","101","55","70","79","455","173","68","3","","","bond_event","marsh","Night Sense","shade_tide"
"E154","Frostlynx","common","normal","false","true","true","radiant","","fast","61","58","52","56","69","45","341","89","159","1","E155","20","quest_attunement","industrial","Lumen Guard","radiant"
"E155","Shadeglass","uncommon","normal","false","true","true","mind","","medium","76","76","73","44","63","75","407","130","115","2","E156","37","dungeon_finale","archive","Future Trace","mind"
"E156","Lumenvole","common","normal","false","true","true","echo","gale","fast","58","55","56","68","52","66","355","91","161","3","","","clear_prism","volcanic_port","Signal Bloom","echo_gale"
"E157","Brinehorn","common","normal","false","true","true","ember","","fast","51","52","56","38","60","44","301","92","162","1","E158","17","habitat_prism","canopy","Pressure Vein","ember"
"E158","Mosswing","common","normal","false","true","true","tide","","fast","54","58","37","52","46","61","308","93","163","2","E159","40","element_prism","desert","Rain Listener","tide"
"E159","Copperjaw","common","normal","false","true","true","verdance","metal","fast","69","46","57","43","40","60","315","94","164","3","","","bond_event","mountain","Root Memory","verdance_metal"
"E160","Echostag","uncommon","normal","false","true","true","stone","","medium","57","63","80","70","70","56","396","135","120","1","E161","20","quest_attunement","wetland_tower","Stone Nerve","stone"
"E161","Ashkit","common","normal","false","true","true","gale","","fast","61","71","56","48","52","41","329","96","166","2","E162","35","dungeon_finale","monastery_cliffs","Sky Step","gale"
"E162","Tidebloom","common","normal","false","true","true","spark","mind","fast","58","40","60","58","64","56","336","97","167","3","","","clear_prism","storm_harbor","Static Nerve","spark_mind"
"E163","Galefin","common","normal","false","true","true","frost","","fast","74","57","49","49","60","54","343","98","168","1","E164","17","habitat_prism","mining_city","Cold Focus","frost"
"E164","Ironquill","common","normal","false","true","true","metal","","fast","54","69","66","70","47","44","350","99","169","2","E165","38","element_prism","suspended_bridges","Iron Rhythm","metal"
"E165","Rimepup","uncommon","normal","false","true","true","shade","tide","medium","68","50","50","58","79","80","385","140","125","3","","","bond_event","reclaimed_war_zone","Night Sense","shade_tide"
"E166","Mindflare","common","normal","false","true","true","radiant","","fast","56","46","49","58","46","48","303","101","171","1","E167","20","quest_attunement","flooded_ruins","Lumen Guard","radiant"
"E167","Verdantjaw","common","normal","false","true","true","mind","","fast","59","52","58","41","63","37","310","102","172","2","E168","41","dungeon_finale","trade_city","Future Trace","mind"
"E168","Veyrwing","common","normal","false","true","true","echo","gale","fast","43","62","43","58","52","59","317","103","173","3","","","clear_prism","forge_city","Signal Bloom","echo_gale"
"E169","Sparkroot","common","normal","false","true","true","ember","","fast","56","50","64","50","47","57","324","104","174","1","E170","17","habitat_prism","abandoned_relay","Pressure Vein","ember"
"E170","Sootcrab","rare","normal","false","true","true","tide","","slow","81","77","58","89","89","57","451","190","85","2","E171","36","element_prism","night_marsh","Rain Listener","tide"
"E171","Auramole","common","normal","false","true","true","verdance","metal","fast","63","63","53","47","50","62","338","106","176","3","","","bond_event","frozen_music_city","Root Memory","verdance_metal"
"E172","Shadehorn","common","normal","false","true","true","stone","","fast","50","48","74","71","42","60","345","107","177","1","E173","20","quest_attunement","capital","Stone Nerve","stone"
"E173","Frostcoil","common","normal","false","true","true","gale","","fast","60","61","57","56","68","50","352","108","178","2","E174","39","dungeon_finale","old_fortress","Sky Step","gale"
"E174","Bronzefawn","common","normal","false","true","true","spark","mind","fast","57","62","62","66","46","66","359","109","179","3","","","clear_prism","greenhouse_port","Static Nerve","spark_mind"
"E175","Reedmoth","uncommon","normal","false","true","true","frost","","medium","81","53","56","63","85","71","409","150","135","1","E176","17","habitat_prism","sealed_border","Cold Focus","frost"
