"id","name","aspect","category","power","accuracy","flux_delta","priority","effect","animation_id","unlock_level"
"TC031","Frost Snap","frost","strike","57","70","-9","0","damage_contact","anim_tc031_frost_strike_chain","94"
"TC032","Metal Surge","metal","pulse","64","75","-8","0","damage_special","anim_tc032_metal_pulse_veil","97"
"TC033","Shade Veil","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc033_shade_guard_arc","100"
"TC034","Radiant Spiral","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc034_radiant_field_surge","3"
"TC035","Mind Crown","mind","bind","85","90","-5","0","status_or_switch_lock","anim_tc035_mind_bind_spiral","6"
"TC036","Echo Pulse","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc036_echo_recovery_burst","9"
"TC037","Ember Fang","ember","strike","99","100","-3","0","damage_contact","anim_tc037_ember_strike_rain","12"
"TC038","Tide Bloom","tide","pulse","106","74","-2","0","damage_special","anim_tc038_tide_pulse_lash","15"
"TC039","Verdance Ward","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc039_verdance_guard_ring","18"
"TC040","Stone Lance","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc040_stone_field_wave","21"
"TC041","Gale Step","gale","bind","32","89","1","0","status_or_switch_lock","anim_tc041_gale_bind_slash","24"
"TC042","Spark Howl","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc042_spark_recovery_flare","27"
"TC043","Frost Guard","frost","strike","46","99","3","0","damage_contact","anim_tc043_frost_strike_quake","30"
"TC044","Metal Crash","metal","pulse","53","73","4","0","damage_special","anim_tc044_metal_pulse_beam","33"
"TC045","Shade Thread","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc045_shade_guard_ripple","36"
"TC046","Radiant Field","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc046_radiant_field_shard","39"
"TC047","Mind Mark","mind","bind","74","88","-8","0","status_or_switch_lock","anim_tc047_mind_bind_chain","42"
"TC048","Echo Rush","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc048_echo_recovery_veil","45"
"TC049","Ember Song","ember","strike","88","98","-6","0","damage_contact","anim_tc049_ember_strike_arc","48"
"TC050","Tide Blade","tide","pulse","95","72","-5","0","damage_special","anim_tc050_tide_pulse_surge","51"
"TC051","Verdance Nova","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc051_verdance_guard_spiral","54"
"TC052","Stone Rift","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc052_stone_field_burst","57"
"TC053","Gale Comet","gale","bind","116","87","-2","0","status_or_switch_lock","anim_tc053_gale_bind_rain","60"
"TC054","Spark Bind","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc054_spark_recovery_lash","63"
"TC055","Frost Mirror","frost","strike","35","97","0","0","damage_contact","anim_tc055_frost_strike_ring","66"
"TC056","Metal Drift","metal","pulse","42","71","1","0","damage_special","anim_tc056_metal_pulse_wave","69"
"TC057","Shade Aegis","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc057_shade_guard_slash","72"
"TC058","Radiant Burst","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc058_radiant_field_flare","75"
"TC059","Mind Orbit","mind","bind","63","86","4","0","status_or_switch_lock","anim_tc059_mind_bind_quake","78"
"TC060","Echo Needle","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc060_echo_recovery_beam","81"
"TC061","Ember Snap","ember","strike","77","96","-9","0","damage_contact","anim_tc061_ember_strike_ripple","84"
"TC062","Tide Surge","tide","pulse","84","70","-8","0","damage_special","anim_tc062_tide_pulse_shard","87"
"TC063","Verdance Veil","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc063_verdance_guard_chain","90"
"TC064","Stone Spiral","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc064_stone_field_veil","93"
"TC065","Gale Crown","gale","bind","105","85","-5","0","status_or_switch_lock","anim_tc065_gale_bind_arc","96"
"TC066","Spark Pulse","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc066_spark_recovery_surge","99"
"TC067","Frost Fang","frost","strike","119","95","-3","0","damage_contact","anim_tc067_frost_strike_spiral","2"
"TC068","Metal Bloom","metal","pulse","31","100","-2","0","damage_special","anim_tc068_metal_pulse_burst","5"
"TC069","Shade Ward","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc069_shade_guard_rain","8"
"TC070","Radiant Lance","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc070_radiant_field_lash","11"
"TC071","Mind Step","mind","bind","52","84","1","0","status_or_switch_lock","anim_tc071_mind_bind_ring","14"
"TC072","Echo Howl","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc072_echo_recovery_wave","17"
"TC073","Ember Guard","ember","strike","66","94","3","0","damage_contact","anim_tc073_ember_strike_slash","20"
"TC074","Tide Crash","tide","pulse","73","99","4","0","damage_special","anim_tc074_tide_pulse_flare","23"
"TC075","Verdance Thread","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc075_verdance_guard_quake","26"
"TC076","Stone Field","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc076_stone_field_beam","29"
"TC077","Gale Mark","gale","bind","94","83","-8","0","status_or_switch_lock","anim_tc077_gale_bind_ripple","32"
"TC078","Spark Rush","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc078_spark_recovery_shard","35"
"TC079","Frost Song","frost","strike","108","93","-6","0","damage_contact","anim_tc079_frost_strike_chain","38"
"TC080","Metal Blade","metal","pulse","115","98","-5","0","damage_special","anim_tc080_metal_pulse_veil","41"
"TC081","Shade Nova","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc081_shade_guard_arc","44"
"TC082","Radiant Rift","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc082_radiant_field_surge","47"
"TC083","Mind Comet","mind","bind","41","82","-2","0","status_or_switch_lock","anim_tc083_mind_bind_spiral","50"
"TC084","Echo Bind","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc084_echo_recovery_burst","53"
"TC085","Ember Mirror","ember","strike","55","92","0","0","damage_contact","anim_tc085_ember_strike_rain","56"
"TC086","Tide Drift","tide","pulse","62","97","1","0","damage_special","anim_tc086_tide_pulse_lash","59"
"TC087","Verdance Aegis","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc087_verdance_guard_ring","62"
"TC088","Stone Burst","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc088_stone_field_wave","65"
"TC089","Gale Orbit","gale","bind","83","81","4","0","status_or_switch_lock","anim_tc089_gale_bind_slash","68"
"TC090","Spark Needle","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc090_spark_recovery_flare","71"
"TC091","Frost Snap","frost","strike","97","91","-9","0","damage_contact","anim_tc091_frost_strike_quake","74"
"TC092","Metal Surge","metal","pulse","104","96","-8","0","damage_special","anim_tc092_metal_pulse_beam","77"
"TC093","Shade Veil","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc093_shade_guard_ripple","80"
"TC094","Radiant Spiral","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc094_radiant_field_shard","83"
"TC095","Mind Crown","mind","bind","30","80","-5","0","status_or_switch_lock","anim_tc095_mind_bind_chain","86"
"TC096","Echo Pulse","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc096_echo_recovery_veil","89"
"TC097","Ember Fang","ember","strike","44","90","-3","0","damage_contact","anim_tc097_ember_strike_arc","92"
"TC098","Tide Bloom","tide","pulse","51","95","-2","0","damage_special","anim_tc098_tide_pulse_surge","95"
"TC099","Verdance Ward","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc099_verdance_guard_spiral","98"
"TC100","Stone Lance","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc100_stone_field_burst","1"
"TC101","Gale Step","gale","bind","72","79","1","0","status_or_switch_lock","anim_tc101_gale_bind_rain","4"
"TC102","Spark Howl","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc102_spark_recovery_lash","7"
"TC103","Frost Guard","frost","strike","86","89","3","0","damage_contact","anim_tc103_frost_strike_ring","10"
"TC104","Metal Crash","metal","pulse","93","94","4","0","damage_special","anim_tc104_metal_pulse_wave","13"
"TC105","Shade Thread","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc105_shade_guard_slash","16"
"TC106","Radiant Field","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc106_radiant_field_flare","19"
"TC107","Mind Mark","mind","bind","114","78","-8","0","status_or_switch_lock","anim_tc107_mind_bind_quake","22"
"TC108","Echo Rush","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc108_echo_recovery_beam","25"
"TC109","Ember Song","ember","strike","33","88","-6","0","damage_contact","anim_tc109_ember_strike_ripple","28"
"TC110","Tide Blade","tide","pulse","40","93","-5","0","damage_special","anim_tc110_tide_pulse_shard","31"
"TC111","Verdance Nova","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc111_verdance_guard_chain","34"
"TC112","Stone Rift","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc112_stone_field_veil","37"
"TC113","Gale Comet","gale","bind","61","77","-2","0","status_or_switch_lock","anim_tc113_gale_bind_arc","40"
"TC114","Spark Bind","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc114_spark_recovery_surge","43"
"TC115","Frost Mirror","frost","strike","75","87","0","0","damage_contact","anim_tc115_frost_strike_spiral","46"
"TC116","Metal Drift","metal","pulse","82","92","1","0","damage_special","anim_tc116_metal_pulse_burst","49"
"TC117","Shade Aegis","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc117_shade_guard_rain","52"
"TC118","Radiant Burst","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc118_radiant_field_lash","55"
"TC119","Mind Orbit","mind","bind","103","76","4","0","status_or_switch_lock","anim_tc119_mind_bind_ring","58"
"TC120","Echo Needle","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc120_echo_recovery_wave","61"
"TC121","Ember Snap","ember","strike","117","86","-9","0","damage_contact","anim_tc121_ember_strike_slash","64"
"TC122","Tide Surge","tide","pulse","124","91","-8","0","damage_special","anim_tc122_tide_pulse_flare","67"
"TC123","Verdance Veil","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc123_verdance_guard_quake","70"
"TC124","Stone Spiral","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc124_stone_field_beam","73"
"TC125","Gale Crown","gale","bind","50","75","-5","0","status_or_switch_lock","anim_tc125_gale_bind_ripple","76"
"TC126","Spark Pulse","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc126_spark_recovery_shard","79"
"TC127","Frost Fang","frost","strike","64","85","-3","0","damage_contact","anim_tc127_frost_strike_chain","82"
"TC128","Metal Bloom","metal","pulse","71","90","-2","0","damage_special","anim_tc128_metal_pulse_veil","85"
"TC129","Shade Ward","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc129_shade_guard_arc","88"
"TC130","Radiant Lance","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc130_radiant_field_surge","91"
"TC131","Mind Step","mind","bind","92","74","1","0","status_or_switch_lock","anim_tc131_mind_bind_spiral","94"
"TC132","Echo Howl","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc132_echo_recovery_burst","97"
"TC133","Ember Guard","ember","strike","106","84","3","0","damage_contact","anim_tc133_ember_strike_rain","100"
"TC134","Tide Crash","tide","pulse","113","89","4","0","damage_special","anim_tc134_tide_pulse_lash","3"
"TC135","Verdance Thread","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc135_verdance_guard_ring","6"
"TC136","Stone Field","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc136_stone_field_wave","9"
"TC137","Gale Mark","gale","bind","39","73","-8","0","status_or_switch_lock","anim_tc137_gale_bind_slash","12"
"TC138","Spark Rush","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc138_spark_recovery_flare","15"
"TC139","Frost Song","frost","strike","53","83","-6","0","damage_contact","anim_tc139_frost_strike_quake","18"
"TC140","Metal Blade","metal","pulse","60","88","-5","0","damage_special","anim_tc140_metal_pulse_beam","21"
"TC141","Shade Nova","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc141_shade_guard_ripple","24"
"TC142","Radiant Rift","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc142_radiant_field_shard","27"
"TC143","Mind Comet","mind","bind","81","72","-2","0","status_or_switch_lock","anim_tc143_mind_bind_chain","30"
"TC144","Echo Bind","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc144_echo_recovery_veil","33"
"TC145","Ember Mirror","ember","strike","95","82","0","0","damage_contact","anim_tc145_ember_strike_arc","36"
"TC146","Tide Drift","tide","pulse","102","87","1","0","damage_special","anim_tc146_tide_pulse_surge","39"
"TC147","Verdance Aegis","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc147_verdance_guard_spiral","42"
"TC148","Stone Burst","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc148_stone_field_burst","45"
"TC149","Gale Orbit","gale","bind","123","71","4","0","status_or_switch_lock","anim_tc149_gale_bind_rain","48"
"TC150","Spark Needle","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc150_spark_recovery_lash","51"
"TC151","Frost Snap","frost","strike","42","81","-9","0","damage_contact","anim_tc151_frost_strike_ring","54"
"TC152","Metal Surge","metal","pulse","49","86","-8","0","damage_special","anim_tc152_metal_pulse_wave","57"
"TC153","Shade Veil","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc153_shade_guard_slash","60"
"TC154","Radiant Spiral","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc154_radiant_field_flare","63"
"TC155","Mind Crown","mind","bind","70","70","-5","0","status_or_switch_lock","anim_tc155_mind_bind_quake","66"
"TC156","Echo Pulse","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc156_echo_recovery_beam","69"
"TC157","Ember Fang","ember","strike","84","80","-3","0","damage_contact","anim_tc157_ember_strike_ripple","72"
"TC158","Tide Bloom","tide","pulse","91","85","-2","0","damage_special","anim_tc158_tide_pulse_shard","75"
"TC159","Verdance Ward","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc159_verdance_guard_chain","78"
"TC160","Stone Lance","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc160_stone_field_veil","81"
"TC161","Gale Step","gale","bind","112","100","1","0","status_or_switch_lock","anim_tc161_gale_bind_arc","84"
"TC162","Spark Howl","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc162_spark_recovery_surge","87"
"TC163","Frost Guard","frost","strike","31","79","3","0","damage_contact","anim_tc163_frost_strike_spiral","90"
"TC164","Metal Crash","metal","pulse","38","84","4","0","damage_special","anim_tc164_metal_pulse_burst","93"
"TC165","Shade Thread","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc165_shade_guard_rain","96"
"TC166","Radiant Field","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc166_radiant_field_lash","99"
"TC167","Mind Mark","mind","bind","59","99","-8","0","status_or_switch_lock","anim_tc167_mind_bind_ring","2"
"TC168","Echo Rush","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc168_echo_recovery_wave","5"
"TC169","Ember Song","ember","strike","73","78","-6","0","damage_contact","anim_tc169_ember_strike_slash","8"
"TC170","Tide Blade","tide","pulse","80","83","-5","0","damage_special","anim_tc170_tide_pulse_flare","11"
"TC171","Verdance Nova","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc171_verdance_guard_quake","14"
"TC172","Stone Rift","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc172_stone_field_beam","17"
"TC173","Gale Comet","gale","bind","101","98","-2","0","status_or_switch_lock","anim_tc173_gale_bind_ripple","20"
"TC174","Spark Bind","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc174_spark_recovery_shard","23"
"TC175","Frost Mirror","frost","strike","115","77","0","0","damage_contact","anim_tc175_frost_strike_chain","26"
"TC176","Metal Drift","metal","pulse","122","82","1","0","damage_special","anim_tc176_metal_pulse_veil","29"
"TC177","Shade Aegis","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc177_shade_guard_arc","32"
"TC178","Radiant Burst","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc178_radiant_field_surge","35"
"TC179","Mind Orbit","mind","bind","48","97","4","0","status_or_switch_lock","anim_tc179_mind_bind_spiral","38"
"TC180","Echo Needle","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc180_echo_recovery_burst","41"
"TC181","Ember Snap","ember","strike","62","76","-9","0","damage_contact","anim_tc181_ember_strike_rain","44"
"TC182","Tide Surge","tide","pulse","69","81","-8","0","damage_special","anim_tc182_tide_pulse_lash","47"
"TC183","Verdance Veil","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc183_verdance_guard_ring","50"
"TC184","Stone Spiral","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc184_stone_field_wave","53"
"TC185","Gale Crown","gale","bind","90","96","-5","0","status_or_switch_lock","anim_tc185_gale_bind_slash","56"
"TC186","Spark Pulse","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc186_spark_recovery_flare","59"
"TC187","Frost Fang","frost","strike","104","75","-3","0","damage_contact","anim_tc187_frost_strike_quake","62"
"TC188","Metal Bloom","metal","pulse","111","80","-2","0","damage_special","anim_tc188_metal_pulse_beam","65"
"TC189","Shade Ward","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc189_shade_guard_ripple","68"
"TC190","Radiant Lance","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc190_radiant_field_shard","71"
"TC191","Mind Step","mind","bind","37","95","1","0","status_or_switch_lock","anim_tc191_mind_bind_chain","74"
"TC192","Echo Howl","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc192_echo_recovery_veil","77"
"TC193","Ember Guard","ember","strike","51","74","3","0","damage_contact","anim_tc193_ember_strike_arc","80"
"TC194","Tide Crash","tide","pulse","58","79","4","0","damage_special","anim_tc194_tide_pulse_surge","83"
"TC195","Verdance Thread","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc195_verdance_guard_spiral","86"
"TC196","Stone Field","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc196_stone_field_burst","89"
"TC197","Gale Mark","gale","bind","79","94","-8","0","status_or_switch_lock","anim_tc197_gale_bind_rain","92"
"TC198","Spark Rush","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc198_spark_recovery_lash","95"
"TC199","Frost Song","frost","strike","93","73","-6","0","damage_contact","anim_tc199_frost_strike_ring","98"
"TC200","Metal Blade","metal","pulse","100","78","-5","0","damage_special","anim_tc200_metal_pulse_wave","1"
"TC201","Shade Nova","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc201_shade_guard_slash","4"
"TC202","Radiant Rift","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc202_radiant_field_flare","7"
"TC203","Mind Comet","mind","bind","121","93","-2","0","status_or_switch_lock","anim_tc203_mind_bind_quake","10"
"TC204","Echo Bind","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc204_echo_recovery_beam","13"
"TC205","Ember Mirror","ember","strike","40","72","0","0","damage_contact","anim_tc205_ember_strike_ripple","16"
"TC206","Tide Drift","tide","pulse","47","77","1","0","damage_special","anim_tc206_tide_pulse_shard","19"
"TC207","Verdance Aegis","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc207_verdance_guard_chain","22"
"TC208","Stone Burst","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc208_stone_field_veil","25"
"TC209","Gale Orbit","gale","bind","68","92","4","0","status_or_switch_lock","anim_tc209_gale_bind_arc","28"
"TC210","Spark Needle","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc210_spark_recovery_surge","31"
"TC211","Frost Snap","frost","strike","82","71","-9","0","damage_contact","anim_tc211_frost_strike_spiral","34"
"TC212","Metal Surge","metal","pulse","89","76","-8","0","damage_special","anim_tc212_metal_pulse_burst","37"
"TC213","Shade Veil","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc213_shade_guard_rain","40"
"TC214","Radiant Spiral","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc214_radiant_field_lash","43"
"TC215","Mind Crown","mind","bind","110","91","-5","0","status_or_switch_lock","anim_tc215_mind_bind_ring","46"
"TC216","Echo Pulse","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc216_echo_recovery_wave","49"
"TC217","Ember Fang","ember","strike","124","70","-3","0","damage_contact","anim_tc217_ember_strike_slash","52"
"TC218","Tide Bloom","tide","pulse","36","75","-2","0","damage_special","anim_tc218_tide_pulse_flare","55"
"TC219","Verdance Ward","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc219_verdance_guard_quake","58"
"TC220","Stone Lance","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc220_stone_field_beam","61"
"TC221","Gale Step","gale","bind","57","90","1","0","status_or_switch_lock","anim_tc221_gale_bind_ripple","64"
"TC222","Spark Howl","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc222_spark_recovery_shard","67"
"TC223","Frost Guard","frost","strike","71","100","3","0","damage_contact","anim_tc223_frost_strike_chain","70"
"TC224","Metal Crash","metal","pulse","78","74","4","0","damage_special","anim_tc224_metal_pulse_veil","73"
"TC225","Shade Thread","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc225_shade_guard_arc","76"
"TC226","Radiant Field","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc226_radiant_field_surge","79"
"TC227","Mind Mark","mind","bind","99","89","-8","0","status_or_switch_lock","anim_tc227_mind_bind_spiral","82"
"TC228","Echo Rush","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc228_echo_recovery_burst","85"
"TC229","Ember Song","ember","strike","113","99","-6","0","damage_contact","anim_tc229_ember_strike_rain","88"
"TC230","Tide Blade","tide","pulse","120","73","-5","0","damage_special","anim_tc230_tide_pulse_lash","91"
"TC231","Verdance Nova","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc231_verdance_guard_ring","94"
"TC232","Stone Rift","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc232_stone_field_wave","97"
"TC233","Gale Comet","gale","bind","46","88","-2","0","status_or_switch_lock","anim_tc233_gale_bind_slash","100"
"TC234","Spark Bind","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc234_spark_recovery_flare","3"
"TC235","Frost Mirror","frost","strike","60","98","0","0","damage_contact","anim_tc235_frost_strike_quake","6"
"TC236","Metal Drift","metal","pulse","67","72","1","0","damage_special","anim_tc236_metal_pulse_beam","9"
"TC237","Shade Aegis","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc237_shade_guard_ripple","12"
"TC238","Radiant Burst","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc238_radiant_field_shard","15"
"TC239","Mind Orbit","mind","bind","88","87","4","0","status_or_switch_lock","anim_tc239_mind_bind_chain","18"
"TC240","Echo Needle","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc240_echo_recovery_veil","21"
"TC241","Ember Snap","ember","strike","102","97","-9","0","damage_contact","anim_tc241_ember_strike_arc","24"
"TC242","Tide Surge","tide","pulse","109","71","-8","0","damage_special","anim_tc242_tide_pulse_surge","27"
"TC243","Verdance Veil","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc243_verdance_guard_spiral","30"
"TC244","Stone Spiral","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc244_stone_field_burst","33"
"TC245","Gale Crown","gale","bind","35","86","-5","0","status_or_switch_lock","anim_tc245_gale_bind_rain","36"
"TC246","Spark Pulse","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc246_spark_recovery_lash","39"
"TC247","Frost Fang","frost","strike","49","96","-3","0","damage_contact","anim_tc247_frost_strike_ring","42"
"TC248","Metal Bloom","metal","pulse","56","70","-2","0","damage_special","anim_tc248_metal_pulse_wave","45"
